Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
153,Whiteout,9/11/2009,2009,Warner Bros.,Thriller/Suspense,"$10,275,638","1,370,085"
154,Next Day Air,5/8/2009,2009,Summit Entertainment,Comedy,"$10,027,047","1,336,939"
155,The Boondock Saints 2: All …,10/30/2009,2009,Apparition,Action,"$9,957,954","1,327,727"
156,Seven Pounds,12/19/2008,2009,Sony Pictures,Drama,"$9,804,526","1,307,270"
157,Away We Go,6/5/2009,2009,Focus Features,Comedy,"$9,451,946","1,260,259"
158,Dragonball Evolution,4/10/2009,2009,20th Century Fox,Adventure,"$9,362,785","1,248,371"
159,Everybody's Fine,12/4/2009,2009,Miramax,Drama,"$9,208,876","1,227,850"
160,A Serious Man,10/2/2009,2009,Focus Features,Comedy,"$9,190,525","1,225,403"
161,Street Fighter: The Legend …,2/27/2009,2009,20th Century Fox,Action,"$8,742,261","1,165,635"
162,My Life in Ruins,6/5/2009,2009,Fox Searchlight,Romantic Comedy,"$8,677,425","1,156,990"
163,Pirate Radio,11/13/2009,2009,Focus Features,Comedy,"$7,994,115","1,065,882"
164,An Education,10/9/2009,2009,Sony Pictures Cla…,Drama,"$7,883,524","1,051,136"
165,The Collector,7/31/2009,2009,Freestyle Releasing,Horror,"$7,712,114","1,028,281"
166,Taking Woodstock,8/28/2009,2009,Focus Features,Comedy,"$7,460,204","994,693"
167,The Tale of Despereaux,12/19/2008,2009,Universal,Adventure,"$7,215,370","962,049"
168,The Road,11/25/2009,2009,Weinstein Co.,Drama,"$6,858,313","914,441"
169,Post Grad,8/21/2009,2009,20th Century Fox,Romantic Comedy,"$6,382,178","850,957"
170,Coco Before Chanel,9/25/2009,2009,Sony Pictures Cla…,Drama,"$5,997,682","799,690"
171,Whatever Works,6/19/2009,2009,Sony Pictures Cla…,Romantic Comedy,"$5,306,706","707,560"
172,Deep Sea 3-D,3/3/2006,2009,Warner Bros.,Documentary,"$5,275,270","703,369"
173,Bandslam,8/14/2009,2009,Summit Entertainment,Comedy,"$5,210,988","694,798"
174,Moon,6/12/2009,2009,Sony Pictures Cla…,Thriller/Suspense,"$5,010,163","668,021"
175,The Day the Earth Stood Still,12/12/2008,2009,20th Century Fox,Adventure,"$4,942,722","659,030"
176,3 Idiots,12/23/2009,2009,Big Pictures,Comedy,"$4,757,078","634,277"
177,Miss March,3/13/2009,2009,20th Century Fox,Comedy,"$4,543,320","605,776"
178,Crossing Over,2/27/2009,2009,Weinstein Co.,Drama,"$4,462,332","594,977"
179,Bright Star,9/17/2009,2009,Apparition,Drama,"$4,444,637","592,618"
180,Magnificent Desolation,9/23/2005,2009,IMAX Films,Documentary,"$4,434,163","591,221"
181,"Food, Inc.",6/12/2009,2009,Magnolia Pictures,Documentary,"$4,417,674","589,023"
182,Good Hair,10/9/2009,2009,Roadside Attractions,Documentary,"$4,146,170","552,822"
183,Bolt,11/21/2008,2009,Walt Disney,Adventure,"$4,136,434","551,525"
184,The September Issue,8/28/2009,2009,Roadside Attractions,Documentary,"$3,817,531","509,004"
185,The Class,1/30/2009,2009,Sony Pictures Cla…,Drama,"$3,766,810","502,241"
186,The Brothers Bloom,5/15/2009,2009,Summit Entertainment,Black Comedy,"$3,531,756","470,900"
187,Space Station,4/19/2002,2009,IMAX Films,Documentary,"$3,314,255","441,900"
188,Madagascar: Escape 2 Africa,11/7/2008,2009,Paramount Pictures,Adventure,"$3,158,070","421,076"
189,Two Lovers,2/13/2009,2009,Magnolia Pictures,Drama,"$3,149,034","419,871"
190,Trailer Park Boys: Countdow…,9/25/2009,2009,,Black Comedy,"$3,012,677","401,690"
191,Australia,11/26/2008,2009,20th Century Fox,Drama,"$2,867,289","382,305"
192,Chéri,6/26/2009,2009,Miramax,Drama,"$2,715,657","362,087"
193,Easy Virtue,5/22/2009,2009,Sony Pictures Cla…,Romantic Comedy,"$2,656,784","354,237"
194,My One and Only,8/21/2009,2009,Freestyle Releasing,Comedy,"$2,556,558","340,874"
195,Quantum of Solace,11/14/2008,2009,Sony Pictures,Action,"$2,548,014","339,735"
196,Sin Nombre,3/20/2009,2009,Focus Features,Thriller/Suspense,"$2,536,665","338,222"
197,Rachel Getting Married,10/3/2008,2009,Sony Pictures Cla…,Drama,"$2,489,437","331,924"
198,The Young Victoria,12/18/2009,2009,Apparition,Drama,"$2,456,337","327,511"
199,Love Aaj Kal,7/31/2009,2009,Eros Entertainment,Romantic Comedy,"$2,430,083","324,011"
200,In the Loop,7/24/2009,2009,IFC Films,Black Comedy,"$2,388,804","318,507"
1,Toy Story 3,6/18/2010,2010,Walt Disney,Adventure,"$415,004,880","52,598,844"
2,Avatar,12/18/2009,2010,20th Century Fox,Action,"$408,392,727","51,760,802"
3,Alice in Wonderland,3/5/2010,2010,Walt Disney,Adventure,"$334,191,110","42,356,287"
4,Iron Man 2,5/7/2010,2010,Paramount Pictures,Action,"$312,433,331","39,598,648"
5,The Twilight Saga: Eclipse,6/30/2010,2010,Summit Entertainment,Drama,"$300,531,751","38,090,209"
6,Inception,7/16/2010,2010,Warner Bros.,Thriller/Suspense,"$292,568,851","37,080,970"
7,Harry Potter and the Deathl…,11/19/2010,2010,Warner Bros.,Adventure,"$283,533,215","35,935,769"
8,Despicable Me,7/9/2010,2010,Universal,Adventure,"$251,203,225","31,838,178"
9,Shrek Forever After,5/21/2010,2010,Paramount Pictures,Adventure,"$238,736,787","30,258,148"
10,How to Train Your Dragon,3/26/2010,2010,Paramount Pictures,Adventure,"$217,581,231","27,576,835"
11,The Karate Kid,6/11/2010,2010,Sony Pictures,Action,"$176,591,618","22,381,701"
12,Tangled,11/24/2010,2010,Walt Disney,Adventure,"$167,821,986","21,270,213"
13,Clash of the Titans,4/1/2010,2010,Warner Bros.,Action,"$163,214,888","20,686,298"
14,Grown Ups,6/25/2010,2010,Sony Pictures,Comedy,"$162,001,186","20,532,470"
15,MegaMind,11/5/2010,2010,Paramount Pictures,Adventure,"$144,192,018","18,275,287"
16,The Last Airbender,7/1/2010,2010,Paramount Pictures,Adventure,"$131,772,187","16,701,164"
17,Tron: Legacy,12/17/2010,2010,Walt Disney,Adventure,"$131,304,844","16,641,932"
18,Shutter Island,2/19/2010,2010,Paramount Pictures,Thriller/Suspense,"$128,012,934","16,224,706"
19,The Other Guys,8/6/2010,2010,Sony Pictures,Comedy,"$119,219,978","15,110,263"
20,Salt,7/23/2010,2010,Sony Pictures,Thriller/Suspense,"$118,311,368","14,995,104"
21,Jackass 3D,10/15/2010,2010,Paramount Pictures,Comedy,"$117,109,417","14,842,765"
22,Valentine's Day,2/12/2010,2010,Warner Bros.,Romantic Comedy,"$110,485,654","14,003,251"
23,Robin Hood,5/14/2010,2010,Universal,Action,"$105,487,148","13,369,727"
24,The Expendables,8/13/2010,2010,Lionsgate,Action,"$103,068,524","13,063,184"
25,Little Fockers,12/22/2010,2010,Universal,Comedy,"$102,576,190","13,000,785"
26,Due Date,11/5/2010,2010,Warner Bros.,Comedy,"$99,231,922","12,576,923"
27,Date Night,4/9/2010,2010,20th Century Fox,Comedy,"$98,711,404","12,510,951"
28,Sex and the City 2,5/27/2010,2010,Warner Bros.,Comedy,"$95,347,692","12,084,625"
29,The Book of Eli,1/15/2010,2010,Warner Bros.,Action,"$94,835,059","12,019,653"
30,The Social Network,10/1/2010,2010,Sony Pictures,Drama,"$93,222,026","11,815,212"
31,The Town,9/17/2010,2010,Warner Bros.,Thriller/Suspense,"$92,173,235","11,682,286"
32,Prince of Persia: Sands of …,5/28/2010,2010,Walt Disney,Action,"$90,759,676","11,503,127"
33,Red,10/15/2010,2010,Summit Entertainment,Action,"$89,505,187","11,344,130"
34,Percy Jackson & the Olympia…,2/12/2010,2010,20th Century Fox,Adventure,"$88,768,303","11,250,735"
35,The Chronicles of Narnia: T…,12/10/2010,2010,20th Century Fox,Adventure,"$86,926,397","11,017,287"
36,True Grit,12/22/2010,2010,Paramount Pictures,Western,"$86,670,382","10,984,839"
37,Paranormal Activity 2,10/22/2010,2010,Paramount Pictures,Horror,"$84,660,648","10,730,120"
38,Eat Pray Love,8/13/2010,2010,Sony Pictures,Drama,"$80,574,010","10,212,169"
39,Dear John,2/5/2010,2010,Sony Pictures,Drama,"$80,014,842","10,141,298"
40,Unstoppable,11/12/2010,2010,20th Century Fox,Action,"$79,468,486","10,072,051"
41,The A-Team,6/11/2010,2010,20th Century Fox,Action,"$77,222,099","9,787,338"
42,Knight and Day,6/23/2010,2010,20th Century Fox,Action,"$76,423,035","9,686,063"
43,Dinner for Schmucks,7/30/2010,2010,Paramount Pictures,Comedy,"$73,026,337","9,255,556"
44,Sherlock Holmes,12/25/2009,2010,Warner Bros.,Adventure,"$70,313,242","8,911,691"
45,The Bounty Hunter,3/19/2010,2010,Sony Pictures,Romantic Comedy,"$67,061,228","8,499,522"
46,Yogi Bear,12/17/2010,2010,Warner Bros.,Adventure,"$65,755,336","8,334,010"
47,Diary of a Wimpy Kid,3/19/2010,2010,20th Century Fox,Comedy,"$64,003,625","8,111,993"
48,Alvin and the Chipmunks: Th…,12/23/2009,2010,20th Century Fox,Adventure,"$63,697,677","8,073,216"
49,The Sorcerer's Apprentice,7/14/2010,2010,Walt Disney,Adventure,"$63,150,991","8,003,927"
50,A Nightmare on Elm Street,4/30/2010,2010,Warner Bros.,Horror,"$63,075,011","7,994,298"
51,The Last Song,3/31/2010,2010,Walt Disney,Drama,"$62,950,384","7,978,502"
52,The Wolf Man,2/12/2010,2010,Universal,Horror,"$62,189,884","7,882,115"
53,Get Him to the Greek,6/4/2010,2010,Universal,Comedy,"$61,153,526","7,750,764"
54,Resident Evil: Afterlife,9/10/2010,2010,Sony Pictures,Horror,"$60,128,566","7,620,857"
55,Why Did I Get Married Too?,4/2/2010,2010,Lionsgate,Drama,"$60,095,852","7,616,711"
56,The Tooth Fairy,1/22/2010,2010,20th Century Fox,Adventure,"$60,022,256","7,607,384"
57,Secretariat,10/8/2010,2010,Walt Disney,Drama,"$59,053,682","7,484,623"
58,Easy A,9/17/2010,2010,Sony Pictures,Comedy,"$58,401,464","7,401,960"
59,Takers,8/27/2010,2010,Sony Pictures,Thriller/Suspense,"$57,744,720","7,318,722"
60,Legend of the Guardians: Th…,9/24/2010,2010,Warner Bros.,Adventure,"$55,549,823","7,040,535"
61,The Tourist,12/10/2010,2010,Sony Pictures,Thriller/Suspense,"$54,633,191","6,924,359"
62,It’s Complicated,12/25/2009,2010,Universal,Romantic Comedy,"$53,556,535","6,787,901"
63,Letters to Juliet,5/14/2010,2010,Summit Entertainment,Drama,"$53,032,453","6,721,477"
64,Life as We Know It,10/8/2010,2010,Warner Bros.,Romantic Comedy,"$52,886,508","6,702,979"
65,Wall Street 2: Money Never …,9/24/2010,2010,20th Century Fox,Drama,"$52,474,616","6,650,775"
66,Predators,7/9/2010,2010,20th Century Fox,Action,"$52,000,688","6,590,708"
67,Hot Tub Time Machine,3/26/2010,2010,MGM,Comedy,"$50,269,859","6,371,338"
68,Kick-Ass,4/16/2010,2010,Lionsgate,Black Comedy,"$48,071,303","6,092,687"
69,Black Swan,12/3/2010,2010,Fox Searchlight,Thriller/Suspense,"$47,807,791","6,059,289"
70,The Blind Side,11/20/2009,2010,Warner Bros.,Drama,"$47,483,408","6,018,176"
71,Killers,6/4/2010,2010,Lionsgate,Action,"$47,059,963","5,964,507"
72,The Fighter,12/10/2010,2010,Paramount Pictures,Drama,"$46,388,853","5,879,449"
73,Saw 3D,10/29/2010,2010,Lionsgate,Horror,"$45,710,178","5,793,431"
74,Cop Out,2/26/2010,2010,Warner Bros.,Comedy,"$44,875,481","5,687,640"
75,The Lovely Bones,12/11/2009,2010,Paramount Pictures,Drama,"$43,731,131","5,542,602"
76,Cats & Dogs: The Revenge of…,7/30/2010,2010,Warner Bros.,Adventure,"$43,585,753","5,524,177"
77,Edge of Darkness,1/29/2010,2010,Warner Bros.,Thriller/Suspense,"$43,313,890","5,489,720"
78,Death at a Funeral,4/16/2010,2010,Sony Pictures,Black Comedy,"$42,739,347","5,416,901"
79,Step Up 3D,8/6/2010,2010,Walt Disney,Drama,"$42,400,223","5,373,919"
80,The Last Exorcism,8/27/2010,2010,Lionsgate,Horror,"$41,034,350","5,200,804"
81,Legion,1/22/2010,2010,Sony Pictures,Horror,"$40,168,080","5,091,011"
82,Up in the Air,12/4/2009,2010,Paramount Pictures,Drama,"$39,448,116","4,999,761"
83,The Crazies,2/26/2010,2010,Overture Films,Horror,"$39,123,589","4,958,630"
84,Crazy Heart,12/16/2009,2010,Fox Searchlight,Drama,"$38,769,554","4,913,758"
85,Burlesque,11/24/2010,2010,Sony Pictures,Musical,"$37,733,561","4,782,454"
86,For Colored Girls,11/5/2010,2010,Lionsgate,Drama,"$37,676,774","4,775,256"
87,The Back-up Plan,4/23/2010,2010,CBS Films,Romantic Comedy,"$37,490,007","4,751,585"
88,Vampires Suck,8/18/2010,2010,20th Century Fox,Comedy,"$36,661,504","4,646,578"
89,The American,9/1/2010,2010,Focus Features,Thriller/Suspense,"$35,606,376","4,512,848"
90,Green Zone,3/12/2010,2010,Universal,Drama,"$35,497,337","4,499,029"
91,Devil,9/17/2010,2010,Universal,Horror,"$33,679,655","4,268,651"
92,Marmaduke,6/4/2010,2010,20th Century Fox,Comedy,"$33,644,788","4,264,232"
93,Hereafter,10/22/2010,2010,Warner Bros.,Drama,"$32,712,586","4,146,082"
94,When in Rome,1/29/2010,2010,Walt Disney,Romantic Comedy,"$32,680,633","4,142,032"
95,She's Out of My League,3/12/2010,2010,Paramount Pictures,Romantic Comedy,"$32,010,860","4,057,143"
96,Scott Pilgrim vs. The World,8/13/2010,2010,Universal,Comedy,"$31,611,316","4,006,504"
97,Love and Other Drugs,11/24/2010,2010,20th Century Fox,Drama,"$31,267,088","3,962,876"
98,Charlie St. Cloud,7/30/2010,2010,Universal,Drama,"$31,206,263","3,955,166"
99,Morning Glory,11/10/2010,2010,Paramount Pictures,Comedy,"$30,759,976","3,898,603"
100,Daybreakers,1/8/2010,2010,Lionsgate,Horror,"$30,101,577","3,815,155"
101,Nanny McPhee Returns,8/20/2010,2010,Universal,Adventure,"$29,197,642","3,700,588"
102,The Switch,8/20/2010,2010,Miramax,Romantic Comedy,"$27,758,465","3,518,183"
103,Gulliver's Travels,12/25/2010,2010,20th Century Fox,Adventure,"$27,454,506","3,479,659"
104,Brooklyn's Finest,3/5/2010,2010,Overture Films,Thriller/Suspense,"$27,163,593","3,442,787"
105,Machete,9/3/2010,2010,20th Century Fox,Action,"$26,593,646","3,370,551"
106,Ramona and Beezus,7/23/2010,2010,20th Century Fox,Comedy,"$26,167,002","3,316,477"
107,Leap Year,1/8/2010,2010,Universal,Romantic Comedy,"$25,918,920","3,285,034"
108,You Again,9/24/2010,2010,Walt Disney,Comedy,"$25,702,053","3,257,547"
109,Alpha and Omega 3D,9/17/2010,2010,Lionsgate,Adventure,"$25,107,267","3,182,163"
110,How Do You Know?,12/17/2010,2010,Sony Pictures,Romantic Comedy,"$25,040,894","3,173,751"
111,Piranha 3D,8/20/2010,2010,Weinstein/Dimension,Horror,"$25,003,155","3,168,967"
112,Lottery Ticket,8/20/2010,2010,Warner Bros.,Comedy,"$24,719,879","3,133,065"
113,The Spy Next Door,1/15/2010,2010,Lionsgate,Comedy,"$24,307,106","3,080,748"
114,From Paris With Love,2/5/2010,2010,Lionsgate,Thriller/Suspense,"$24,077,427","3,051,638"
115,The Losers,4/23/2010,2010,Warner Bros.,Action,"$23,591,432","2,990,042"
116,The King’s Speech,11/26/2010,2010,Weinstein Co.,Drama,"$22,932,401","2,906,514"
117,Faster,11/24/2010,2010,CBS Films,Action,"$22,856,870","2,896,941"
118,Just Wright,5/14/2010,2010,Fox Searchlight,Romantic Comedy,"$21,540,363","2,730,084"
119,Skyline,11/12/2010,2010,Universal,Thriller/Suspense,"$21,416,355","2,714,367"
120,The Next Three Days,11/19/2010,2010,Lionsgate,Thriller/Suspense,"$21,129,348","2,677,990"
121,The Kids Are All Right,7/9/2010,2010,Focus Features,Comedy,"$20,811,365","2,637,688"
122,Our Family Wedding,3/12/2010,2010,Fox Searchlight,Comedy,"$20,255,281","2,567,209"
123,Hubble 3D,3/19/2010,2010,Warner Bros.,Documentary,"$20,149,829","2,553,844"
124,Oceans,4/22/2010,2010,Walt Disney,Documentary,"$19,422,319","2,461,637"
125,Remember Me,3/12/2010,2010,Summit Entertainment,Drama,"$19,068,240","2,416,760"
126,The Princess and the Frog,12/11/2009,2010,Walt Disney,Adventure,"$18,541,560","2,350,007"
127,Going the Distance,9/3/2010,2010,Warner Bros.,Romantic Comedy,"$17,804,299","2,256,565"
128,Furry Vengeance,4/30/2010,2010,Summit Entertainment,Comedy,"$17,630,465","2,234,533"
129,Splice,6/4/2010,2010,Warner Bros.,Horror,"$17,010,170","2,155,915"
130,The Ghost Writer,2/19/2010,2010,Summit Entertainment,Thriller/Suspense,"$15,541,549","1,969,778"
131,Youth in Revolt,1/8/2010,2010,Weinstein/Dimension,Comedy,"$15,285,588","1,937,336"
132,My Soul to Take,10/8/2010,2010,Universal,Horror,"$14,744,435","1,868,750"
133,Repo Men,3/19/2010,2010,Universal,Action,"$13,942,007","1,767,048"
134,Case 39,10/1/2010,2010,Paramount Vantage,Horror,"$13,261,851","1,680,843"
135,Extraordinary Measures,1/22/2010,2010,CBS Films,Drama,"$12,482,741","1,582,096"
136,Let Me In,10/1/2010,2010,Overture Films,Horror,"$12,134,935","1,538,015"
137,Millénium - Le Film,5/29/2009,2010,Alliance Atlantis,Thriller/Suspense,"$10,561,224","1,338,558"
138,Jonah Hex,6/18/2010,2010,Warner Bros.,Action,"$10,547,117","1,336,770"
139,127 Hours,11/5/2010,2010,Fox Searchlight,Drama,"$10,434,435","1,322,489"
140,Fair*Game,11/5/2010,2010,Summit Entertainment,Drama,"$9,118,756","1,155,736"
141,Get Low,7/30/2010,2010,Sony Pictures Cla…,Drama,"$9,111,488","1,154,814"
142,The Twilight Saga: New Moon,11/20/2009,2010,Summit Entertainment,Drama,"$8,668,979","1,098,730"
143,The Young Victoria,12/18/2009,2010,Apparition,Drama,"$8,544,935","1,083,008"
144,MacGruber,5/21/2010,2010,Universal,Comedy,"$8,525,600","1,080,558"
145,Flickan som lekte med elden,12/25/2009,2010,,Thriller/Suspense,"$8,480,758","1,074,874"
146,Cyrus,6/18/2010,2010,Fox Searchlight,Comedy,"$7,468,936","946,633"
147,A Single Man,12/11/2009,2010,Weinstein Co.,Drama,"$7,444,351","943,517"
148,Babies,5/7/2010,2010,Focus Features,Documentary,"$7,320,323","927,797"
149,Invictus,12/11/2009,2010,Warner Bros.,Drama,"$6,904,919","875,148"
150,Conviction,10/15/2010,2010,Fox Searchlight,Drama,"$6,797,696","861,558"
151,City Island,3/19/2010,2010,Anchor Bay Entert…,Comedy,"$6,671,283","845,536"
152,The Imaginarium of Doctor P…,12/25/2009,2010,Sony Pictures Cla…,Adventure,"$6,659,786","844,079"
153,The Last Station,1/15/2010,2010,Sony Pictures Cla…,Drama,"$6,617,867","838,766"
154,Waiting for Superman,9/24/2010,2010,Paramount Vantage,Documentary,"$6,417,135","813,325"
155,The Secret in Their Eyes,4/16/2010,2010,Sony Pictures Cla…,Drama,"$6,391,436","810,067"
156,It's Kind of a Funny Story,10/8/2010,2010,Focus Features,Comedy,"$6,363,628","806,543"
157,Winter's Bone,6/11/2010,2010,Roadside Attractions,Drama,"$6,245,508","791,572"
158,Nine,12/25/2009,2010,Weinstein Co.,Musical,"$5,930,989","751,709"
159,Under the Sea 3D,2/13/2009,2010,Warner Bros.,Documentary,"$5,857,442","742,388"
160,The Warrior's Way,12/3/2010,2010,Relativity,Western,"$5,569,301","705,868"
161,Orlando,1/1/1992,2010,Sony Pictures Cla…,Drama,"$5,367,945","680,347"
162,Millénium 3 - La reine du p…,4/30/2010,2010,Alliance Atlantis,Thriller/Suspense,"$5,273,085","668,325"
163,I am Love,6/18/2010,2010,Magnolia Pictures,Drama,"$5,005,465","634,406"
164,The Wildest Dream,4/30/2010,2010,National Geograph…,Documentary,"$4,896,296","620,569"
165,Mao's Last Dancer,8/20/2010,2010,Samuel Goldwyn Films,Drama,"$4,806,750","609,220"
166,An Education,10/9/2009,2010,Sony Pictures Cla…,Drama,"$4,691,390","594,599"
167,Solitary Man,5/21/2010,2010,Anchor Bay Entert…,Drama,"$4,360,548","552,667"
168,The Hurt Locker,6/26/2009,2010,Summit Entertainment,Drama,"$4,346,706","550,913"
169,Did You Hear About the Morg…,12/18/2009,2010,Sony Pictures,Romantic Comedy,"$4,267,703","540,900"
170,Greenberg,3/19/2010,2010,Focus Features,Romantic Comedy,"$4,234,170","536,650"
171,My Name is Khan,2/12/2010,2010,Fox Searchlight,Drama,"$4,046,336","512,844"
172,Please Give,4/30/2010,2010,Sony Pictures Cla…,Black Comedy,"$4,033,574","511,226"
173,Precious (Based on the Nove…,11/6/2009,2010,Lionsgate,Drama,"$3,806,401","482,433"
174,To Save a Life,1/22/2010,2010,Samuel Goldwyn Films,Drama,"$3,777,210","478,733"
175,The Runaways,3/19/2010,2010,Apparition,Drama,"$3,573,673","452,937"
176,Inside Job,10/8/2010,2010,Sony Pictures Cla…,Documentary,"$3,452,017","437,517"
177,Exit Through the Gift Shop,4/16/2010,2010,Producers Distrib…,Documentary,"$3,291,250","417,141"
178,Catfish,9/17/2010,2010,Universal,Documentary,"$3,237,343","410,310"
179,You Will Meet a Tall Dark S…,9/22/2010,2010,Sony Pictures Cla…,Drama,"$3,229,586","409,326"
180,Chloe,3/26/2010,2010,Sony Pictures Cla…,Thriller/Suspense,"$3,075,255","389,766"
181,Broken Embraces,11/20/2009,2010,Sony Pictures Cla…,Thriller/Suspense,"$2,991,650","379,169"
182,Joan Rivers: A Piece of Work,6/11/2010,2010,IFC Films,Documentary,"$2,930,687","371,443"
183,Letters to God,4/9/2010,2010,Vivendi Entertain…,Drama,"$2,848,587","361,037"
184,2012,11/13/2009,2010,Sony Pictures,Adventure,"$2,670,038","338,408"
185,Planet 51,11/20/2009,2010,Sony Pictures,Adventure,"$2,623,491","332,508"
186,N-Secure,10/15/2010,2010,Freestyle Releasing,Thriller/Suspense,"$2,595,644","328,978"
187,Magnificent Desolation,9/23/2005,2010,IMAX Films,Documentary,"$2,504,085","317,374"
188,Never Let Me Go,9/15/2010,2010,Fox Searchlight,Drama,"$2,434,652","308,574"
189,The Twilight Saga: Twilight…,6/29/2010,2010,Summit Entertainment,,"$2,385,237","302,311"
190,Robot,10/1/2010,2010,B4U Movies,Action,"$2,276,427","288,520"
191,Old Dogs,11/25/2009,2010,Walt Disney,Comedy,"$2,252,485","285,486"
192,The White Ribbon,12/30/2009,2010,Sony Pictures Cla…,Drama,"$2,137,172","270,870"
193,A Prophet,2/26/2010,2010,Sony Pictures Cla…,Drama,"$2,087,720","264,603"
194,U2 3D,2/15/2008,2010,National Geograph…,Concert/Perfor…,"$2,054,521","260,395"
195,Space Station,4/19/2002,2010,IMAX Films,Documentary,"$1,931,542","244,808"
196,Lourdes,2/17/2010,2010,Pallisades Tartan,Drama,"$1,891,305","239,709"
197,Fantastic Mr. Fox,11/13/2009,2010,20th Century Fox,Comedy,"$1,879,730","238,242"
198,Harry Brown,4/30/2010,2010,Samuel Goldwyn Films,Thriller/Suspense,"$1,818,681","230,504"
199,Stone,10/8/2010,2010,Overture Films,Drama,"$1,810,078","229,414"
200,3 Idiots,12/23/2009,2010,Big Pictures,Comedy,"$1,776,771","225,192"
1,Harry Potter and the Deathl…,7/15/2011,2011,Warner Bros.,Adventure,"$381,011,219","48,046,812"
2,Transformers: Dark of the Moon,6/29/2011,2011,Paramount Pictures,Action,"$352,390,543","44,437,647"
3,The Twilight Saga: Breaking…,11/18/2011,2011,Summit Entertainment,Drama,"$275,530,738","34,745,364"
4,The Hangover Part II,5/26/2011,2011,Warner Bros.,Comedy,"$254,464,305","32,088,815"
5,Pirates of the Caribbean: O…,5/20/2011,2011,Walt Disney,Adventure,"$241,071,802","30,399,975"
6,Fast Five,4/29/2011,2011,Universal,Action,"$210,031,325","26,485,665"
7,Cars 2,6/24/2011,2011,Walt Disney,Adventure,"$191,450,875","24,142,607"
8,Thor,5/6/2011,2011,Paramount Pictures,Action,"$181,030,624","22,828,578"
9,Rise of the Planet of the Apes,8/5/2011,2011,20th Century Fox,Adventure,"$176,760,185","22,290,061"
10,Captain America: The First …,7/22/2011,2011,Paramount Pictures,Action,"$176,654,505","22,276,735"
11,The Help,8/10/2011,2011,Walt Disney,Drama,"$169,499,546","21,374,469"
12,Bridesmaids,5/13/2011,2011,Universal,Comedy,"$169,211,718","21,338,174"
13,Kung Fu Panda 2,5/26/2011,2011,Paramount Pictures,Adventure,"$165,249,063","20,838,469"
14,X-Men: First Class,6/3/2011,2011,20th Century Fox,Action,"$146,408,305","18,462,586"
15,Puss in Boots,10/28/2011,2011,Paramount Pictures,Adventure,"$145,738,327","18,378,099"
16,Rio,4/15/2011,2011,20th Century Fox,Adventure,"$143,619,809","18,110,947"
17,The Smurfs,7/29/2011,2011,Sony Pictures,Adventure,"$142,614,158","17,984,130"
18,Mission: Impossible—Ghost P…,12/21/2011,2011,Paramount Pictures,Action,"$141,186,646","17,804,117"
19,Sherlock Holmes: A Game of …,12/16/2011,2011,Warner Bros.,Action,"$136,910,219","17,264,845"
20,Super 8,6/10/2011,2011,Paramount Pictures,Thriller/Suspense,"$127,004,179","16,015,659"
21,Rango,3/4/2011,2011,Paramount Pictures,Western,"$123,477,607","15,570,947"
22,Horrible Bosses,7/8/2011,2011,Warner Bros.,Comedy,"$117,538,559","14,822,012"
23,Green Lantern,6/17/2011,2011,Warner Bros.,Action,"$116,601,172","14,703,805"
24,The King’s Speech,11/26/2010,2011,Weinstein Co.,Drama,"$115,865,048","14,610,977"
25,Hop,4/1/2011,2011,Universal,Adventure,"$108,085,305","13,629,925"
26,Paranormal Activity 3,10/21/2011,2011,Paramount Pictures,Horror,"$104,007,828","13,115,741"
27,Just Go With It,2/11/2011,2011,Sony Pictures,Romantic Comedy,"$103,028,109","12,992,195"
28,Cowboys and Aliens,7/29/2011,2011,Universal,Action,"$100,368,560","12,656,817"
29,Bad Teacher,6/24/2011,2011,Sony Pictures,Comedy,"$100,292,856","12,647,270"
30,Gnomeo and Juliet,2/11/2011,2011,Walt Disney,Romantic Comedy,"$99,967,670","12,606,263"
31,The Green Hornet,1/14/2011,2011,Sony Pictures,Action,"$98,780,042","12,456,499"
32,Alvin and the Chipmunks: Ch…,12/16/2011,2011,20th Century Fox,Adventure,"$97,848,114","12,338,980"
33,The Lion King,6/15/1994,2011,Walt Disney,Adventure,"$94,233,351","11,883,146"
34,True Grit,12/22/2010,2011,Paramount Pictures,Western,"$84,572,623","10,664,896"
35,Real Steel,10/7/2011,2011,Walt Disney,Action,"$84,493,241","10,654,885"
36,"Crazy, Stupid, Love",7/29/2011,2011,Warner Bros.,Romantic Comedy,"$84,351,197","10,636,973"
37,Battle: Los Angeles,3/11/2011,2011,Sony Pictures,Action,"$83,552,429","10,536,245"
38,Immortals,11/11/2011,2011,Relativity,Action,"$82,656,999","10,423,329"
39,The Muppets,11/23/2011,2011,Walt Disney,Adventure,"$82,529,452","10,407,244"
40,Zookeeper,7/8/2011,2011,Sony Pictures,Romantic Comedy,"$80,360,866","10,133,778"
41,Limitless,3/18/2011,2011,Relativity,Thriller/Suspense,"$79,249,455","9,993,626"
42,Tower Heist,11/4/2011,2011,Universal,Comedy,"$76,802,225","9,685,022"
43,Contagion,9/9/2011,2011,Warner Bros.,Thriller/Suspense,"$75,658,097","9,540,744"
44,Moneyball,9/23/2011,2011,Sony Pictures,Drama,"$74,961,642","9,452,918"
