Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
114,Lone Star,6/21/1996,1996,Sony Pictures Cla…,Drama,"$12,928,474","2,924,994"
115,Mr. Wrong,2/16/1996,1996,Walt Disney,Romantic Comedy,"$12,805,071","2,897,074"
116,The Postman,6/14/1995,1996,Miramax,Drama,"$12,786,292","2,892,826"
117,Goldeneye,11/17/1995,1996,MGM,Action,"$12,767,795","2,888,641"
118,The Spitfire Grill,8/23/1996,1996,Sony Pictures,Drama,"$12,592,203","2,848,914"
119,The Associate,10/25/1996,1996,Walt Disney,Comedy,"$12,384,525","2,801,928"
120,Alaska,8/14/1996,1996,Sony Pictures,Adventure,"$11,509,600","2,603,981"
121,Mulholland Falls,4/26/1996,1996,MGM,Drama,"$11,504,190","2,602,757"
122,Big Night,9/20/1996,1996,Goldwyn Entertain…,Drama,"$11,457,795","2,592,261"
123,Michael Collins,10/11/1996,1996,Warner Bros.,Drama,"$11,213,181","2,536,918"
124,2 Days In The Valley,9/27/1996,1996,MGM,Drama,"$11,101,856","2,511,732"
125,Beautiful Girls,2/9/1996,1996,Miramax,Comedy,"$10,523,880","2,380,968"
126,Two if by Sea,1/12/1996,1996,Warner Bros.,Romantic Comedy,"$10,493,670","2,374,133"
127,White Squall,2/2/1996,1996,Walt Disney,Adventure,"$10,229,300","2,314,321"
128,The Evening Star,12/25/1996,1996,Paramount Pictures,Drama,"$10,150,380","2,296,466"
129,Sunset Park,4/26/1996,1996,Sony Pictures,Drama,"$10,128,314","2,291,473"
130,Mrs. Winterbourne,4/19/1996,1996,Sony Pictures,Romantic Comedy,"$10,039,566","2,271,395"
131,A Family Thing,3/29/1996,1996,MGM,Drama,"$9,993,012","2,260,862"
132,She's the One,8/23/1996,1996,Fox Searchlight,Romantic Comedy,"$9,482,579","2,145,379"
133,Dunston Checks In,1/12/1996,1996,20th Century Fox,Comedy,"$9,419,316","2,131,066"
134,Hellraiser IV: Bloodline,3/8/1996,1996,Miramax,Horror,"$9,321,492","2,108,934"
135,Celtic Pride,4/19/1996,1996,Walt Disney,Comedy,"$9,240,378","2,090,583"
136,Tom and Huck,12/22/1995,1996,Walt Disney,Adventure,"$9,232,982","2,088,909"
137,The American President,11/17/1995,1996,Sony Pictures,Romantic Comedy,"$8,954,209","2,025,839"
138,Before and After,2/23/1996,1996,Walt Disney,Drama,"$8,642,118","1,955,230"
139,All Dogs Go To Heaven 2,3/29/1996,1996,MGM,Adventure,"$8,556,572","1,935,876"
140,The Rich Man’s Wife,9/13/1996,1996,Walt Disney,Thriller/Suspense,"$8,538,318","1,931,746"
141,Braveheart,5/24/1995,1996,Paramount Pictures,Drama,"$8,526,191","1,929,002"
142,Larger Than Life,11/1/1996,1996,MGM,Comedy,"$8,295,903","1,876,901"
143,The Great White Hype,5/3/1996,1996,20th Century Fox,Comedy,"$7,852,282","1,776,534"
144,Wings of Courage,4/21/1995,1996,Sony Pictures Cla…,Drama,"$6,918,899","1,565,361"
145,House Arrest,8/14/1996,1996,MGM,Comedy,"$6,906,987","1,562,666"
146,Dear God,11/1/1996,1996,Paramount Pictures,Comedy,"$6,899,612","1,560,998"
147,Babe,8/4/1995,1996,Universal,Comedy,"$6,853,625","1,550,593"
148,Sudden Death,12/22/1995,1996,Universal,Action,"$6,747,130","1,526,500"
149,Shine,11/22/1996,1996,Fine Line,Drama,"$6,694,360","1,514,561"
150,Across The Sea of Time,10/20/1995,1996,Sony Pictures Cla…,Adventure,"$6,682,383","1,511,851"
151,Secrets & Lies,9/28/1996,1996,October Films,Drama,"$6,237,238","1,411,139"
152,Nixon,12/20/1995,1996,Walt Disney,Drama,"$6,064,096","1,371,967"
153,Last Dance,5/3/1996,1996,Walt Disney,Drama,"$5,857,534","1,325,233"
154,Ghosts of Mississippi,12/20/1996,1996,Sony Pictures,Drama,"$5,782,753","1,308,315"
155,Mary Reilly,2/23/1996,1996,Sony Pictures,Horror,"$5,707,094","1,291,197"
156,Screamers,1/26/1996,1996,Sony Pictures,Action,"$5,701,359","1,289,900"
157,Get on the Bus,10/16/1996,1996,Sony Pictures,Drama,"$5,691,854","1,287,749"
158,Cold Comfort Farm,5/10/1996,1996,Gramercy,Comedy,"$5,682,429","1,285,617"
159,The Pallbearer,5/3/1996,1996,Miramax,Romantic Comedy,"$5,656,388","1,279,725"
160,Tales from the Crypt Presen…,8/16/1996,1996,Universal,Horror,"$5,601,285","1,267,259"
161,Jane Eyre,4/12/1996,1996,Miramax,Drama,"$5,200,601","1,176,606"
162,Solo,8/23/1996,1996,Sony Pictures,Action,"$4,932,915","1,116,044"
163,Heaven's Prisoners,5/17/1996,1996,New Line,Thriller/Suspense,"$4,912,939","1,111,524"
164,Casino,11/22/1995,1996,Universal,Drama,"$4,905,635","1,109,872"
165,Girl 6,3/22/1996,1996,Fox Searchlight,Black Comedy,"$4,880,941","1,104,285"
166,The Crucible,11/29/1996,1996,20th Century Fox,Drama,"$4,664,716","1,055,365"
167,Balto,12/22/1995,1996,Universal,Adventure,"$4,622,620","1,045,841"
168,Joe's Apartment,7/26/1996,1996,Warner Bros.,Black Comedy,"$4,616,355","1,044,424"
169,Stealing Beauty,6/14/1996,1996,Fox Searchlight,Drama,"$4,573,330","1,034,690"
170,Bogus,9/6/1996,1996,Warner Bros.,Comedy,"$4,357,406","985,838"
171,Welcome to the Dollhouse,5/10/1996,1996,Sony Pictures Cla…,Black Comedy,"$4,198,137","949,804"
172,To Gillian on Her 37th Birt…,10/18/1996,1996,Sony Pictures,Drama,"$4,137,645","936,118"
173,Swingers,10/18/1996,1996,Miramax,Comedy,"$4,088,252","924,943"
174,Antonia's Line,2/9/1996,1996,First Look,Drama,"$4,047,426","915,707"
175,Ace Ventura: When Nature Calls,11/10/1995,1996,Warner Bros.,Comedy,"$3,988,567","902,390"
176,Ed,3/15/1996,1996,Universal,Comedy,"$3,956,785","895,200"
177,Restoration,12/29/1995,1996,Miramax,Drama,"$3,826,224","865,661"
178,Bound,10/4/1996,1996,Gramercy,Thriller/Suspense,"$3,802,260","860,239"
179,Barb Wire,5/3/1996,1996,Gramercy,Action,"$3,775,952","854,287"
180,The Trigger Effect,8/30/1996,1996,Gramercy,Thriller/Suspense,"$3,608,238","816,343"
181,Moll Flanders,6/14/1996,1996,MGM,Drama,"$3,443,047","778,969"
182,Angels and Insects,1/26/1996,1996,Goldwyn Entertain…,Drama,"$3,390,811","767,151"
183,Carpool,8/23/1996,1996,Warner Bros.,Comedy,"$3,325,651","752,409"
184,Original Gangstas,5/10/1996,1996,Orion Pictures,Action,"$3,279,266","741,915"
185,Feeling Minnesota,9/13/1996,1996,New Line,Drama,"$3,124,440","706,886"
186,Get Shorty,10/20/1995,1996,MGM,Comedy,"$2,954,057","668,338"
187,Basquiat,8/9/1996,1996,Miramax,Drama,"$2,946,337","666,592"
188,Kids in the Hall: Brain Candy,4/12/1996,1996,Paramount Pictures,Comedy,"$2,640,536","597,406"
189,Cutthroat Island,12/22/1995,1996,MGM,Adventure,"$2,617,537","592,202"
190,Unforgettable,2/23/1996,1996,MGM,Thriller/Suspense,"$2,483,790","561,943"
191,The Stupids,8/30/1996,1996,New Line,Adventure,"$2,415,593","546,514"
192,If Lucy Fell,3/8/1996,1996,Sony Pictures,Romantic Comedy,"$2,410,162","545,285"
193,Lawnmower Man 2: Beyond Cyb…,1/12/1996,1996,New Line,Action,"$2,396,302","542,149"
194,Dracula: Dead and Loving It,12/22/1995,1996,Sony Pictures,Comedy,"$2,357,406","533,349"
195,Once Upon a Time... When We…,1/26/1996,1996,BET Pictures,Drama,"$2,291,255","518,383"
196,Evita,12/25/1996,1996,Walt Disney,Musical,"$2,278,112","515,409"
197,Richard III,12/29/1995,1996,MGM,Drama,"$2,259,372","511,170"
198,Faithful,4/5/1996,1996,New Line,Black Comedy,"$2,104,439","476,117"
199,Big Bully,1/26/1996,1996,Warner Bros.,Comedy,"$2,042,530","462,110"
200,Snowriders,10/18/1996,1996,Warren Miller Ent…,Documentary,"$2,035,470","460,513"
1,Men in Black,7/1/1997,1997,Sony Pictures,Action,"$250,650,052","54,607,854"
2,The Lost World: Jurassic Park,5/22/1997,1997,Universal,Action,"$229,086,679","49,909,951"
3,Liar Liar,3/21/1997,1997,Universal,Comedy,"$181,410,615","39,523,009"
4,Air Force One,7/25/1997,1997,Sony Pictures,Action,"$172,480,186","37,577,382"
5,Star Wars Ep. IV: A New Hope,7/21/1978,1997,20th Century Fox,Adventure,"$138,133,173","30,094,373"
6,My Best Friend's Wedding,6/20/1997,1997,Sony Pictures,Romantic Comedy,"$126,776,290","27,620,106"
7,Titanic,12/19/1997,1997,Paramount Pictures,Drama,"$112,594,173","24,530,321"
8,Face/Off,6/27/1997,1997,Paramount Pictures,Action,"$112,276,146","24,461,033"
9,Batman & Robin,6/20/1997,1997,Warner Bros.,Action,"$107,325,195","23,382,395"
10,George Of The Jungle,7/16/1997,1997,Walt Disney,Adventure,"$105,263,257","22,933,171"
11,Con Air,6/6/1997,1997,Walt Disney,Action,"$101,117,573","22,029,972"
12,Contact,7/11/1997,1997,Warner Bros.,Drama,"$100,920,329","21,986,999"
13,Hercules,6/13/1997,1997,Walt Disney,Adventure,"$99,112,101","21,593,050"
14,Tomorrow Never Dies,12/19/1997,1997,MGM,Action,"$92,433,154","20,137,942"
15,Scream 2,12/12/1997,1997,Miramax,Horror,"$85,520,969","18,632,019"
16,Flubber,11/26/1997,1997,Walt Disney,Comedy,"$83,134,090","18,112,002"
17,Conspiracy Theory,8/8/1997,1997,Warner Bros.,Thriller/Suspense,"$76,118,990","16,583,657"
18,Jerry Maguire,12/13/1996,1997,Sony Pictures,Romantic Comedy,"$70,614,467","15,384,415"
19,I Know What You Did Last Su…,10/17/1997,1997,Sony Pictures,Horror,"$70,426,975","15,343,567"
20,Star Wars Ep. V: The Empire…,7/31/1981,1997,20th Century Fox,Adventure,"$67,484,485","14,702,502"
