Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
Hür Adam: Bediüzzaman Said Nursi,TR,2011,Mehmet Tanrisever,1 001 388,1 004 269
También la lluvia,"ES, MX, FR",2010,Icíar Bollaín, 985 718,1 165 821
Justin Bieber: Never Say Never,US,2011,Jon Chu, 985 359, 988 361
Anche se è amore non si vede,IT,2011,"Salvatore Ficarra, Valentino Picone", 983 705, 999 112
Due Date,US,2010,Todd Phillips, 970 751,7 631 258
Muži v naději,CZ,2011,Jirí Vejdelek, 961 383, 980 766
Beastly,US,2011,Daniel Barnz, 941 263, 941 263
Le Havre,"FI, FR, DE",2011,Aki Kaurismäki, 933 481,2 051 267
Fright Night,US,2011,Craig Gillespie, 931 283, 931 534
Wyjazd integracyjny,PL,2011,Przemyslaw Angerman, 923 444, 927 331
Ya Sonra?,TR,2011,"Özcan Deniz, Baran Ozcaylan", 904 069, 904 069
Dolphin Tale,US,2011,Charles Martin Smith, 891 419,1 240 037
La guerre est déclarée,FR,2011,Valérie Donzelli, 890 847,1 003 219
Mon pire cauchemar,"FR, BE",2011,Anne Fontaine, 888 487,1 054 920
Skyfall,"GBinc, US",2012,Sam Mendes,45 229 429,46 435 435
Ice Age: Continental Drift,US,2012,"Steve Martino, Mike Thurmeier",35 057 041,35 183 999
The Twilight Saga: Breaking Dawn - Part 2,US,2012,Bill Condon,27 409 059,27 931 919
The Dark Knight Rises,"US, GB",2012,Christopher Nolan,27 150 120,27 200 671
The Hobbit: An Unexpected Journey,"US, NZ",2012,Peter Jackson,26 259 912,37 049 487
The Avengers,US,2012,Joss Whedon,24 750 663,24 816 983
Madagascar 3: Europe's Most Wanted,US,2012,"Eric Darnell, Tom McGrath, Conrad Vernon",23 817 509,24 020 227
Intouchables,FR,2011,"Olivier Nakache, Eric Toledano",22 931 956,41 529 820
Ted,US,2012,Seth MacFarlane,17 621 983,17 657 531
Brave,US,2012,"Mark Andrew, Mark Andrews, Brenda Chapman, Steve Purcell",15 775 916,15 890 957
The Amazing Spider-Man,US,2012,Marc Webb,14 307 095,14 340 225
The Hunger Games,US,2012,Gary Ross,13 766 827,13 888 762
Men in Black 3,"US, AE",2012,Barry Sonnenfeld,12 755 709,12 756 844
Snow White and the Huntsman,US,2012,Rupert Sanders,12 580 395,12 583 587
American Pie 4,US,2012,"Jon Hurwitz, Hayden Schlossberg",12 500 536,12 501 353
Prometheus,"US, GB",2012,Ridley Scott,12 154 116,12 163 719
Taken 2,FR,2012,Olivier Megaton,11 097 349,11 118 011
Sherlock Holmes: A Game of Shadows,US,2011,Guy Ritchie,10 123 427,17 947 607
The Expendables 2,US,2012,Simon West,8 712 724,8 725 581
The Dictator,US,2012,Larry Charles,8 503 868,8 505 359
Puss in Boots,US,2011,Chris Miller,8 155 354,20 251 916
Alvin and the Chipmunks: Chipwrecked,US,2011,Mike Mitchell,8 091 804,13 556 958
Dark Shadows,"US, AU",2012,Tim Burton,8 069 575,8 072 023
Rise of the Guardians,US,2012,Peter Ramsey,7 394 114,9 161 051
Hotel Transylvania,US,2012,Genndy Tartakovsky,7 152 673,9 642 311
Fetih 1453,TR,2012,Faruk Aksoy,7 012 367,7 019 135
Life of Pi,"US, TW",2012,Ang Lee,6 795 964,15 204 310
Lo imposible,"ES, US",2012,J.A. Bayona,6 490 629,11 136 708
Titanic,US,1997,James Cameron,6 376 116,112 156 415
The Descendants,US,2011,Alexander Payne,6 327 926,6 330 580
The Pirates! Band of Misfits,"GBinc, US",2012,"Peter Lord, Jeff Newitt",6 303 158,6 326 683
The Bourne Legacy,US,2012,Tony Gilroy,6 158 849,6 159 692
Astérix & Obélix: Au service de sa Majesté,"FR, ES, IT, LT, BE",2012,Laurent Tirard,6 148 156,6 405 518
Battleship,US,2012,Peter Berg,6 147 243,6 147 803
The Iron Lady,"GB, FR",2011,Phyllida Lloyd,6 107 134,6 122 930
Journey 2: The Mysterious Island,US,2012,Brad Peyton,6 050 913,6 053 270
Mission: Impossible - Ghost Protocol,"US, AE",2011,Brad Bird,5 914 624,12 845 319
Wrath of the Titans,"US, ES",2012,Jonathan Liebesman,5 904 301,5 904 672
The Girl with the Dragon Tattoo,"US, SE",2011,David Fincher,5 882 360,7 453 716
Sur la piste du Marsupilami,"FR, BE",2012,Alain Chabat,5 834 706,5 842 649
The Best Exotic Marigold Hotel,"GBinc, US, UA",2011,John Madden,5 791 953,5 827 717
The Artist,"FR, BE",2011,Michel Hazanavicius,5 722 083,7 773 129
The Lorax,US,2012,"Kyle Balda, Chris Renaud",5 669 281,5 736 505
Mirror Mirror,US,2012,Tarsem Singh,5 637 616,5 647 985
The Woman in Black,"GBinc, US, SE",2012,James Watkins,5 451 814,5 460 372
War Horse,"US, IN",2011,Steven Spielberg,5 419 775,5 434 110
The Muppets,US,2011,James Bobin,5 150 945,5 156 002
Step Up Revolution,US,2012,Scott Speer,5 095 989,5 100 199
John Carter,US,2012,Andrew Stanton,4 864 619,4 864 705
Total Recall,"US, CA",2012,Len Wiseman,4 785 812,4 787 357
La vérité si je mens! 3,FR,2012,Thomas Gilou,4 780 692,4 780 692
Safe House,"US, ZA",2012,Daniel Espinosa,4 693 607,4 693 937
To Rome with Love,"IT, US, ES",2012,Woody Allen,4 690 904,4 737 810
Looper,"US, CN",2012,Rian Johnson,4 365 111,4 637 645
Benvenuti al nord,IT,2012,Luca Miniero,4 295 863,4 295 907
Tinkerbell and the Secret of the Wings,US,2012,"Peggy Holmes, Roberts Gannaway",4 292 845,4 779 398
Magic Mike,US,2012,Steven Soderbergh,4 245 315,4 256 774
The Vow,"US, FR, AU, GB, DE",2012,"Jirí Suchý, Michael Sucsy",4 178 428,4 178 947
Paranormal Activity 4,US,2012,"Henry Joost, Ariel Schulman",4 153 672,4 155 327
Le prénom,"FR, BE",2012,"Alexandre de La Patellière, Matthieu Delaporte",4 078 498,4 096 763
Argo,US,2012,Ben Affleck,3 841 882,5 818 528
Project X,US,2012,Nima Nourizadeh,3 841 230,3 841 656
J. Edgar,US,2011,Clint Eastwood,3 817 592,3 818 021
This Means War,US,2012, McG,3 617 660,3 618 180
Hope Springs,US,2012,David Frankel,3 573 250,3 939 394
Chronicle,US,2012,Josh Trank,3 352 709,3 355 150
Wreck-It Ralph,US,2012,Rich Moore,3 283 903,10 713 022
Star Wars: Episode I - The Phantom Menace,US,1999,George Lucas,3 269 099,48 128 224
Hugo,US,2011,Martin Scorsese,3 265 303,5 007 481
21 Jump Street,US,2012,"Chris Miller, Phil Lord, Christopher Miller",3 246 437,3 247 687
Underworld: Awakening,US,2012,"Björn Stein, Måns Mårlind",3 178 301,3 178 775
What to Expect When You're Expecting,US,2012,Kirk Jones,3 110 108,3 110 354
Evim Sensin,TR,2012,Özcan Deniz,2 903 462,3 022 681
Les seigneurs,FR,2012,Olivier Dahan,2 874 059,2 979 568
Les infidèles,FR,2012,"Emmanuelle Bercot, Fred Cavayé, Jean Dujardin, Michel Hazanavicius, Jan Kounen, Eric Lartigau, Gilles Lellouche, Alexandre Courtès",2 843 217,2 847 238
Las aventuras de Tadeo Jones,ES,2012,Enrique Gato,2 725 056,3 791 706
Ghost Rider: Spirit of Vengeance,"US, AE",2011,"Brian Taylor, Mark Neveldine",2 721 761,2 721 761
Jack and Jill,US,2011,Dennis Dugan,2 714 187,2 778 910
Cloud Atlas,"DE, US",2012,"Tom Tykwer, Lilly Wachowski, Lana Wachowski",2 713 045,4 481 483
Türkisch für Anfänger,DE,2012,Bora Dagtekin,2 685 697,2 687 290
Resident Evil: Retribution,"CA, US, DE, FR",2012,Paul W.S. Anderson,2 659 920,2 660 429
The Devil Inside,US,2012,William Brent Bell,2 489 589,2 490 063
Abraham Lincoln: Vampire Hunter,US,2012,Timur Bekmambetov,2 476 445,2 476 948
De rouille et d'os,"FR, BE",2012,Jacques Audiard,2 473 181,2 851 607
Savages,US,2012,Oliver Stone,2 349 955,2 352 912
Sammy's avonturen 2,"BE, FR, IT",2012,"Vincent Kesteloot, Mimi Maynard, Ben Stassen",2 268 770,3 312 012
Tinker Tailor Soldier Spy,"GB, DE, FR",2011,Tomas Alfredson,2 249 281,5 062 897
Sinister,US,2012,Scott Derrickson,2 195 880,2 411 995
Un bonheur n'arrive jamais seul,FR,2012,James Huth,2 194 961,2 236 772
ParaNorman,US,2012,"Chris Butler, Sam Fell",2 159 351,2 401 930
Berlin Kaplani,TR,2012,Hakan Algül,2 151 589,2 151 904
The Cabin in the Woods,US,2011,Drew Goddard,2 089 619,2 095 842
Salmon Fishing in the Yemen,GB,2011,Lasse Hallström,2 075 756,2 088 896
Anna Karenina,GB,2012,Joe Wright,2 072 720,3 921 887
The Lucky One,US,2012,Scott Hicks,2 045 302,2 045 302
Tengo ganas de ti,ES,2012,Fernando González Molina,1 980 379,2 000 640
Cloclo,"FR, BE",2012,Florent-Emilio Siri,1 967 493,1 968 658
Stars 80,FR,2012,"Frédéric Forestier, Thomas Langmann",1 901 160,1 935 076
Immaturi - Il viaggio,IT,2012,Paolo Genovese,1 879 734,1 880 216
Moonrise Kingdom,US,2012,Wes Anderson,1 850 300,2 102 614
Diary of a Wimpy Kid: Dog Days,"US, CA",2012,David Bowers,1 818 498,1 848 961
The Grey,US,2011,Joe Carnahan,1 764 972,1 766 672
Niko 2: Lentäjäveljekset,"FI, DE, DK, IE",2012,"Kari Juusonen, Jørgen Lerdam",1 745 768,2 323 585
We Bought a Zoo,US,2011,Cameron Crowe,1 733 299,1 762 875
StreetDance 2,"GB, DE, IT",2012,"Dania Pasquini, Max Giwa",1 682 889,1 684 437
The Five-Year Engagement,US,2012,Nicholas Stoller,1 680 719,1 681 349
Amour,"FR, DE, AT",2012,Michael Haneke,1 663 703,2 610 930
Jack Reacher,US,2012,Christopher McQuarrie,1 633 743,5 877 044
Sen Kimsin,TR,2012,Ozan Aciktan,1 630 819,1 630 819
The Angels' Share,"GB, FR, BE, IT",2012,Ken Loach,1 618 660,1 963 053
The Possession,"US, CA",2012,Ole Bornedal,1 595 705,2 020 729
Dans la maison,FR,2012,François Ozon,1 594 714,2 094 903
Safe,US,2012,Boaz Yakin,1 583 390,1 584 134
Pitch Perfect,US,2012,Jason Moore,1 560 185,3 021 077
Zarafa,"FR, BE",2012,"Rémi Bezançon, Jean-Christophe Lie",1 528 725,1 739 044
Shame,"GBinc, US, AU",2011,Steve McQueen,1 528 687,1 728 711
Killing Them Softly,US,2012,Andrew Dominik,1 520 339,1 599 287
Happy Feet Two,AU,2011,"George Miller, Gary Eck, David Peers",1 514 612,4 812 613
Frankenweenie,US,2012,Tim Burton,1 511 288,1 761 490
Contraband,"US, GB, FR",2012,Baltasar Kormákur,1 498 844,1 498 925
Posti in piedi in paradiso,IT,2012,Carlo Verdone,1 485 156,1 485 415
Jesteś Bogiem,PL,2012,Leszek Dawid,1 480 533,1 487 654
Mince alors!,FR,2012,Charlotte de Turckheim,1 458 346,1 458 621
Man on a Ledge,US,2012,Asger Leth,1 447 510,1 447 510
Nativity 2: Danger in the Manger!,GB,2012,Debbie Isitt,1 426 083,1 455 806
Lawless,US,2012,John Hillcoat,1 413 634,1 426 496
Chernobyl Diaries,US,2012,Bradley Parker,1 399 898,1 400 099
The Watch,US,2012,Akiva Schaffer,1 350 116,1 350 680
Un plan parfait,"FR, BE",2012,Pascal Chaumeil,1 337 140,1 906 801
Haywire,"US, IE",2011,Steven Soderbergh,1 336 501,1 337 067
New Year's Eve,US,2011,Garry Marshall,1 319 159,5 318 515
Carnage,"FR, DE, PL, ES",2011,Roman Polanski,1 268 385,3 427 967
In Darkness,"PL, DE, CA",2011,Agnieszka Holland,1 235 370,1 303 899
Il peggior Natale della mia vita,IT,2012,Alessandro Genovesi,1 217 234,1 221 267
The Ides of March,US,2011,George Clooney,1 211 949,3 076 240
Colpi di fulmine,IT,2012,Neri Parenti,1 211 822,1 513 056
Here Comes the Boom,US,2012,Frank Coraci,1 208 773,1 250 738
Silent Hill: Revelation 3D,"US, CA, FR",2012,M.J. Bassett,1 204 572,1 283 719
The Darkest Hour,"US, RU",2011,Chris Gorak,1 196 380,1 273 406
Et si on vivait tous ensemble ?,"FR, DE",2011,Stéphane Robelin,1 193 870,1 268 970
Sümela'nin sifresi: Temel,TR,2011,"Adem Kiliç, Serkan Karaarslan",1 179 053,1 865 670
Fünf Freunde,DE,2012,Mike Marzuk,1 155 429,1 166 330
Tutto tutto niente niente,IT,2012,Giulio Manfredonia,1 144 336,1 278 851
In Time,US,2011,Andrew Niccol,1 128 589,6 464 129
Les vacances de Ducobu,FR,2012,Philippe de Chauveron,1 121 727,1 122 059
Kirikou et les hommes et les femmes,FR,2012,Michel Ocelot,1 121 323,1 133 501
Rubbeldiekatz,DE,2011,Detlev Buck,1 100 338,2 202 996
Les Kaïra,FR,2012,Franck Gastambide,1 089 482,1 089 573
Den skaldede frisør,"DK, SE, FR, DE, IT",2012,Susanne Bier,1 083 946,1 498 512
En kongelig affære,"DK, SE, CZ",2012,Nikolaj Arcel,1 063 788,1 303 606
Les saveurs du Palais,FR,2012,Christian Vincent,1 058 855,1 386 403
Lockout,FR,2012,"James Mather, Stephen St. Leger, Steve Saint Leger",1 055 954,1 056 897
Com'è bello far l'amore,IT,2012,Fausto Brizzi,1 053 387,1 053 387
My Week with Marilyn,"GB, US",2011,Simon Curtis,1 037 509,1 546 073
I 2 soliti idioti,IT,2012,Enrico Lando,1 033 009,1 253 877
Comme un chef,"FR, ES",2012,Daniel Cohen,1 018 874,1 076 093
Red Lights,"ES, US",2012,Rodrigo Cortés,1 002 085,1 018 542
Hanni & Nanni 2,DE,2012,Julia von Heinz,1 001 396,1 001 912
Iron Sky,"FI, DE, AU",2012,Timo Vuorensola, 992 443, 997 760
The Cold Light of Day,"US, ES",2012,Mabrouk El Mechri, 988 448, 988 672
Dredd,"GB, ZA, US, IN",2012,Pete Travis, 979 960, 981 084
LOL,US,2011,Lisa Azuelos, 966 173, 976 785
A Few Best Men,"AU, GB",2011,Stephan Elliott, 963 866, 965 989
Çanakkale 1915,TR,2012,Yesim Sezgin, 959 557, 987 699
Populaire,"FR, BE",2012,Régis Roinsard, 959 276,1 282 504
The Twilight Saga: Breaking Dawn - Part 1,US,2011,Bill Condon, 954 587,25 240 152
Rock of Ages,US,2012,Adam Shankman, 953 780, 954 205
Le Havre,"FI, FR, DE",2011,Aki Kaurismäki, 950 287,2 051 267
A Dangerous Method,"GB, DE, CA, CH",2011,David Cronenberg, 949 624,2 535 712
L'amour dure trois ans,"FR, BE",2011,Frédéric Beigbeder, 924 624, 926 329
Camille redouble,FR,2012,Noémie Lvovsky, 918 864,1 063 404
The Lion King,US,1994,"Roger Allers, Rob Minkoff", 915 910,4 766 859
End of Watch,US,2012,David Ayer, 898 593,1 045 971
Venuto al mondo,"IT, ES",2012,Sergio Castellitto, 896 920,1 189 406
Kon-Tiki,"NO, GB, DK, DE",2012,"Espen Sandberg, Joachim Rønning", 881 944,1 350 105
Moskova'nin Sifresi Temel,TR,2012,Adem Kiliç, 876 222, 889 124
On the Road,"US, FR, CA, GB, BR",2012,Walter Salles, 871 879, 922 170
Extremely Loud & Incredibly Close,US,2011,Stephen Daldry, 871 207, 873 973
Un monstre à Paris,FR,2011,Bibo Bergeron, 868 627,2 697 189
Barbara,DE,2012,Christian Petzold, 857 901,1 047 785
Seeking Justice,US,2011,Roger Donaldson, 846 962,1 115 682
Viva l'Italia,IT,2012,Massimiliano Bruno, 844 333, 845 977
Çakallarla Dans 2: Hastasiyiz Dede,TR,2012,Murat Seker, 843 087, 947 021
Monsieur Lazhar,CA,2011,Philippe Falardeau, 842 335, 888 654
Seven Psychopaths,"GB, US",2012,Martin McDonagh, 840 480,1 260 970
That's My Boy,US,2012,Sean Anders, 834 954, 835 024
Cosmopolis,"CA, FR",2012,David Cronenberg, 817 175, 818 919
Bachelorette,US,2012,Leslye Headland, 810 754, 875 248
Arbitrage,"US, PL",2012,Nicholas Jarecki, 798 673,1 630 634
African Cats,US,2011,"Alastair Fothergill, Keith Scholey", 794 169, 803 485
One for the Money,US,2012,Julie Anne Robinson, 793 389, 793 627
Beauty and the Beast,US,1991,"Gary Trousdale, Kirk Wise", 790 833,1 101 331
The Tall Man,"CA, FR",2012,Pascal Laugier, 776 082, 897 353
[REC]³ Génesis,ES,2011,Paco Plaza, 774 431, 828 887
Schutzengel,DE,2012,Til Schweiger, 772 720, 772 720
Mann tut was Mann kann,DE,2012,Marc Rothemund, 769 748, 786 930
The Help,"US, IN, AE",2011,Tate Taylor, 768 201,3 114 884
The Raven,"US, HU, ES",2012,James McTeigue, 766 534, 766 536
Hvidsten gruppen,DK,2012,Anne-Grethe Bjarup Riis, 746 897, 746 897
Silver Linings Playbook,US,2012,David O. Russell, 741 397,6 386 701
Despicable Me 2,US,2013,"Pierre Coffin, Chris Renaud",26 793 746,26 922 606
The Hobbit: The Desolation of Smaug,"US, NZ",2013,Peter Jackson,25 347 542,32 965 848
Iron Man 3,US,2013,Shane Black,20 864 510,20 869 231
Frozen,US,2013,"Chris Buck, Jennifer Lee",20 276 267,32 557 585
The Hunger Games: Catching Fire,US,2013,Francis Lawrence,20 142 860,21 581 947
Furious 6,US,2013,Justin Lin,19 420 751,19 447 091
Django Unchained,US,2012,Quentin Tarantino,18 906 840,18 942 445
The Croods,US,2013,"Kirk De Micco, Chris Sanders",17 148 664,17 189 783
The Smurfs 2,US,2013,Raja Gosnell,15 656 267,15 705 678
The Hangover Part III,US,2013,Todd Phillips,15 582 091,15 582 703
Gravity,"US, GB",2013,Alfonso Cuarón,15 507 810,16 756 308
Monsters University,US,2013,Dan Scanlon,15 275 621,15 314 592
Thor: The Dark World,US,2013,Alan Taylor,12 596 138,12 672 482
World War Z,US,2013,Marc Forster,12 310 737,12 314 896
Man of Steel,"US, GB",2013,Zack Snyder,11 998 931,12 000 638
Now You See Me,US,2013,Louis Leterrier,10 861 993,10 889 779
The Hobbit: An Unexpected Journey,"US, NZ",2012,Peter Jackson,10 659 802,37 049 487
Turbo,US,2013,David Soren,10 179 116,10 339 961
Les Misérables,"GBinc, US",2012,Tom Hooper,10 090 362,10 580 923
The Great Gatsby,"US, AU",2013,Baz Luhrmann,10 027 970,10 054 916
Oz the Great and Powerful,US,2013,Sam Raimi,9 305 438,9 308 217
Planes,US,2013,Klay Hall,8 873 307,8 928 802
The Wolverine,"US, GB",2013,James Mangold,8 867 516,8 875 633
A Good Day to Die Hard,US,2013,John Moore,8 668 958,8 669 496
Star Trek: Into Darkness,US,2013,J.J. Abrams,8 441 725,8 453 451
Life of Pi,"US, TW",2012,Ang Lee,8 379 521,15 204 310
Elysium,US,2013,Neill Blomkamp,8 372 051,8 374 378
Sole a catinelle,IT,2013,Gennaro Nunziante,8 035 619,8 063 183
Epic,US,2013,Chris Wedge,7 753 995,7 780 058
Oblivion,US,2013,Joseph Kosinski,7 728 076,7 729 479
Wreck-It Ralph,US,2012,Rich Moore,7 405 875,10 713 022
We're the Millers,US,2013,Rawson Marshall Thurber,7 092 645,7 099 158
The Lone Ranger,US,2013,Gore Verbinski,6 871 143,6 872 340
The Conjuring,US,2013,James Wan,6 585 882,6 659 817
Lincoln,US,2012,Steven Spielberg,6 318 901,6 323 797
After Earth,US,2013,M. Night Shyamalan,6 278 872,6 279 618
Fack ju Göhte,DE,2013,Bora Dagtekin,6 143 316,8 364 863
Captain Phillips,US,2013,Paul Greengrass,5 672 893,5 783 872
Silver Linings Playbook,US,2012,David O. Russell,5 634 910,6 386 701
Hansel & Gretel: Witch Hunters,"US, DE",2013,Tommy Wirkola,5 372 779,5 374 371
Blue Jasmine,US,2013,Woody Allen,5 339 091,5 756 463
Percy Jackson: Sea of Monsters,US,2013,Thor Freudenthal,5 135 538,5 149 566
G.I. Joe: Retaliation,US,2013,Jon Chu,5 129 452,5 129 612
Grown Ups 2,US,2013,Dennis Dugan,5 128 281,5 131 908
Rush,"GBinc, US, DE",2013,Ron Howard,5 126 753,5 202 269
Pacific Rim,US,2013,Guillermo del Toro,5 020 620,5 028 888
Cloudy with a Chance of Meatballs 2,US,2013,"Cody Cameron, Kris Pearn",4 674 019,6 976 868
Lo imposible,"ES, US",2012,J.A. Bayona,4 642 234,11 136 708
Lee Daniels' The Butler,US,2013,Lee Daniels,4 363 421,5 476 033
Prisoners,US,2013,Denis Villeneuve,4 311 075,4 395 526
Jack Reacher,US,2012,Christopher McQuarrie,4 241 664,5 877 044
Dügün dernek,TR,2013,"Selçuk Aydemir, Birkan Pusa",4 237 589,7 387 202
Les profs,FR,2013,Pierre-François Martin-Laval,4 181 217,4 206 644
White House Down,US,2013,Roland Emmerich,4 003 806,4 004 889
Mama,"CA, ES",2013,"Andrés Muschietti, Andy Muschietti",3 989 701,3 992 893
CM101MMXI Fundamentals,TR,2012,Murat Dundar,3 871 535,3 871 591
Flight,US,2012,Robert Zemeckis,3 722 574,3 836 997
Jack the Giant Slayer,US,2013,Bryan Singer,3 583 455,3 584 227
Olympus Has Fallen,US,2013,Antoine Fuqua,3 380 677,3 381 528
Insidious: Chapter 2,"US, CA",2013,James Wan,3 286 914,3 296 939
The Heat,US,2013,Paul Feig,3 278 093,3 280 190
Gangster Squad,US,2013,Ruben Fleischer,3 225 619,3 225 624
2 Guns,US,2013,Baltasar Kormákur,3 172 657,3 177 147
Scary Movie 5,US,2013,"Malcolm D. Lee, David Zucker",3 155 320,3 155 424
Kokowääh 2,DE,2013,"Til Schweiger, Torsten Künstler",3 133 114,3 133 293
Red 2,US,2013,Dean Parisot,3 123 509,3 125 776
Celal ile Ceren,TR,2013,Togan Gökbakar,3 107 160,3 107 304
Riddick,"US, CA",2013,David Twohy,2 913 430,2 918 292
About Time,GB,2013,Richard Curtis,2 893 969,2 929 524
Evil Dead,US,2013,Fede Alvarez,2 876 120,2 880 135
Schlussmacher,DE,2013,"Matthias Schweighöfer, Torsten Künstler",2 810 350,2 819 374
Quartet,GB,2012,Dustin Hoffman,2 743 032,2 758 876
The Mortal Instruments: City of Bones,"US, DE, CA",2013,Harald Zwart,2 742 981,2 744 955
Side Effects,US,2013,Steven Soderbergh,2 698 083,2 700 507
Escape Plan,US,2013,Mikael Håfström,2 616 527,2 742 526
The Counselor,"US, GB",2013,Ridley Scott,2 601 363,3 224 222
I Give It a Year,"GB, FR, DE",2013,Dan Mazer,2 595 462,2 699 769
Zero Dark Thirty,US,2012,Kathryn Bigelow,2 593 522,2 596 369
Jackass Presents: Bad Grandpa,US,2013,Jeff Tremaine,2 563 525,2 568 713
Hotel Transylvania,US,2012,Genndy Tartakovsky,2 442 680,9 642 311
The Place Beyond the Pines,US,2012,Derek Cianfrance,2 420 907,2 422 755
The Host,US,2013,Andrew Niccol,2 395 570,2 398 779
Il principe abusivo,IT,2013,Alessandro Siani,2 386 425,2 387 686
Pain & Gain,US,2013,Michael Bay,2 355 500,2 357 775
The Family,"FR, US",2013,Luc Besson,2 294 395,2 347 427
One Direction: This Is Us,"GBinc, US",2013,Morgan Spurlock,2 290 886,2 296 118
The Internship,US,2013,Shawn Levy,2 251 578,2 253 293
Kelebegin ruyasi,TR,2013,Yilmaz Erdogan,2 250 648,2 251 448
Identity Thief,US,2013,Seth Gordon,2 243 605,2 243 928
Philomena,"GB, US, FR",2013,Stephen Frears,2 229 371,5 146 772
Runner Runner,US,2013,Brad Furman,2 220 376,2 224 351
Beautiful Creatures,US,2013,Richard LaGravenese,2 215 917,2 216 104
Selam,TR,2013,Levent Demirkale,2 187 064,2 187 064
Kick-Ass 2,"US, GB",2013,Jeff Wadlow,2 175 406,2 176 973
La cage dorée,FR,2013,Ruben Alves,2 172 717,2 237 506
Los amantes pasajeros,ES,2013,Pedro Almodóvar,2 103 737,2 109 289
Last Vegas,US,2013,Jon Turteltaub,2 067 962,3 606 539
9 mois ferme,FR,2013,Albert Dupontel,2 056 508,2 142 788
Boule & Bill,"FR, BE, LU",2013,"Alexandre Charlot, Franck Magnier",2 053 382,2 054 213
"Les garçons et Guillaume, à table!","FR, BE",2013,Guillaume Gallienne,2 036 806,3 082 467
La migliore offerta,IT,2013,Giuseppe Tornatore,2 016 369,2 102 840
The Secret Life of Walter Mitty,US,2013,Ben Stiller,1 994 504,6 044 127
Argo,US,2012,Ben Affleck,1 969 467,5 818 528
Ender's Game,US,2013,Gavin Hood,1 965 145,2 005 545
Eyjafjallajökull,FR,2013,Alexandre Coffre,1 959 153,2 199 747
The Purge,"US, FR",2013,James DeMonaco,1 950 418,1 958 079
La grande bellezza,"IT, FR",2013,Paolo Sorrentino,1 901 682,2 729 442
Anchorman 2: The Legend Continues,US,2013,Adam McKay,1 877 473,2 791 974
Jappeloup,"FR, CA",2013,Christian Duguay,1 841 504,1 862 168
Anna Karenina,GB,2012,Joe Wright,1 838 248,3 921 887
Walking with Dinosaurs 3D,"US, GB, IN, AU",2013,"Barry Cook, Neil Nightingale",1 834 588,4 038 040
Warm Bodies,US,2013,Jonathan Levine,1 831 367,1 837 880
La vie d'Adèle,"FR, BE, ES",2013,Abdellatif Kechiche,1 786 435,2 086 748
Zambezia,ZA,2012,Wayne Thornley,1 766 499,2 004 734
Cloud Atlas,"DE, US",2012,"Tom Tykwer, Lilly Wachowski, Lana Wachowski",1 764 533,4 481 483
Paulette,FR,2012,Jérôme Enrico,1 762 979,1 899 980
Rise of the Guardians,US,2012,Peter Ramsey,1 751 703,9 161 051
Les gamins,FR,2013,Anthony Marciano,1 744 490,1 773 162
The World's End,"GBinc, US, JP",2013,Edgar Wright,1 700 451,1 706 958
Parker,US,2013,Taylor Hackford,1 682 826,1 812 172
Hükümet kadin 2,TR,2013,Sermiyan Midyat,1 655 003,1 679 922
20 ans d'écart,FR,2013,David Moreau,1 648 424,1 659 207
Romantik Komedi 2: Bekarliga Veda,TR,2013,Erol Özlevi,1 575 006,1 575 006
Carrie,US,2013,Kimberly Peirce,1 556 275,1 797 969
The Big Wedding,US,2013,Justin Zackham,1 506 885,1 629 664
Hükümet kadin,TR,2013,Sermiyan Midyat,1 501 404,1 501 408
Benim dünyam,TR,2013,Ugur Yücel,1 490 873,1 495 058
Spring Breakers,US,2012,Harmony Korine,1 489 409,1 492 045
The Bling Ring,"US, GB, FR, DE, JP",2013,Sofia Coppola,1 485 336,1 490 611
Pitch Perfect,US,2012,Jason Moore,1 448 839,3 021 077
Safe Haven,US,2013,Lasse Hallström,1 445 998,1 446 429
The Physician,DE,2013,Philipp Stölzl,1 445 990,5 205 146
This Is 40,US,2012,Judd Apatow,1 431 387,1 445 384
Benvenuto Presidente!,IT,2013,Riccardo Milani,1 383 987,1 385 515
Night Train to Lisbon,"DE, CH, PT",2013,Bille August,1 379 295,1 522 264
Diana,"GB, FR, BE",2013,Oliver Hirschbiegel,1 377 378,1 477 167
Justin and the Knights of Valour,ES,2013,"Manuel Sicilia Morales, Manuel Sicilia",1 340 568,1 541 848
Colpi di fortuna,IT,2013,Neri Parenti,1 333 256,1 620 592
Trance,"GBinc, US, FR",2013,Danny Boyle,1 333 234,1 334 032
Alceste à bicyclette,FR,2013,Philippe Le Guay,1 309 412,1 527 246
This Is the End,US,2013,"Evan Goldberg, Seth Rogen",1 293 928,1 294 826
Sur le chemin de l'école,"FR, CN, ZA, BR, CO",2013,Pascal Plisson,1 278 508,1 976 483
Fünf Freunde 2,DE,2013,Mike Marzuk,1 277 786,1 283 729
Su ve Ates,TR,2013,Özcan Deniz,1 269 563,1 304 068
Jagten,"DK, SE",2012,Thomas Vinterberg,1 264 784,1 739 988
R.I.P.D.,US,2013,Robert Schwentke,1 263 522,1 264 512
