Original title,Producing country,Production year,Directors,Admissions null-null,Total EU27+GB since 1996
Recoil,US,1963,Art Camacho, 4 946, 4 946
Pasažérka,PL,1963,"Witold Lesiewicz, Andrzej Munk", 4 756, 4 756
Billy Liar,GB,1963,John Schlesinger, 4 426, 4 426
Verdes Anos,PT,1963,Paulo Rocha, 4 216, 4 216
"America, America",US,1963,Elia Kazan, 4 158, 4 158
Nippon konchûki,JP,1963,Shôhei Imamura, 3 457, 3 457
The Girl Hunters,GB,1963,Roy Rowland, 3 110, 3 110
Smrt si říká Engelchen,"CZ, SK",1963,"Ján Kadár, Elmar Klos", 3 078, 3 078
A Child Is Waiting,US,1963,John Cassavetes, 3 050, 3 050
I basilischi,IT,1963,Lina Wertmüller, 2 847, 2 847
Frau Holle,DD,1963,Gottfried Kolditz, 2 844, 2 844
Donovan's Reef,US,1963,John Ford, 2 625, 2 625
The Cardinal,US,1963,Otto Preminger, 2 463, 2 463
The Incredible Journey,US,1963,Fletcher Markle, 2 383, 2 383
The Pink Panther,"US, GB",1963,Blake Edwards, 2 285, 2 285
Barnvagnen,SE,1963,Bo Widerberg, 2 191, 2 191
Adieu Philippine,"FR, IT",1963,Jacques Rozier, 2 118, 2 118
Gojuman-nin no isan,JP,1963,Toshirō Mifune, 2 047, 2 047
I fidanzati,IT,1963,Ermanno Olmi, 1 929, 1 929
Il Segno di Zorro,"ES, IT, FR",1963,Mario Caiano, 1 603, 1 603
Postava k podpírání,"CZ, SK",1963,"Pavel Jurácek, Jan Schmidt", 1 594, 1 594
Hud,US,1963,Martin Ritt, 1 555, 1 555
El otro Cristóbal,"CU, FR",1963,Armand Gatti, 1 555, 1 555
I tre volti della paura,"IT, FR, US",1963,Mario Bava, 1 529, 1 529
La rimpatriata,"IT, FR",1963,Damiano Damiani, 1 495, 1 495
The Raven,US,1963,Roger Corman, 1 493, 1 493
The Haunting,US,1963,Robert Wise, 1 484, 1 484
Winnetou - 1. Teil,"DE, YU, IT",1963,Harald Reinl, 1 476, 1 476
Yukinojô henge,JP,1963,Kon Ichikawa, 1 439, 1 439
Konkurs,"CZ, SK",1963,Milos Forman, 1 408, 1 408
This Sporting Life,GB,1963,Lindsay Anderson, 1 291, 1 291
Un drôle de paroissien,FR,1963,Jean-Pierre Mocky, 1 275, 1 275
Karbid und Sauerampfer,DD,1963,Frank Beyer, 1 197, 1 197
Shock Corridor,US,1963,Samuel Fuller,  951,  951
L'Ape Regina,"IT, FR",1963,Marco Ferreri,  933,  933
Transport z raje,"CZ, SK",1963,Zbynek Brynych,  926,  926
Il maestro di Vigevano,IT,1963,Elio Petri,  921,  921
Yajû no seishun,JP,1963,Seijun Suzuki,  814,  814
Kutabare akutô-domo - Tantei jimusho 23,JP,1963,Seijun Suzuki,  757,  757
Naděje,"CZ, SK",1963,Karel Kachyňa,  753,  753
Días de otoño,MX,1963,Roberto Gavaldón,  735,  735
Muriel ou Le temps d'un retour,"FR, IT",1963,Alain Resnais,  728,  728
The Nutty Professor,US,1963,Jerry Lewis,  707,  707
La ragazza che sapeva troppo,IT,1963,Mario Bava,  643,  643
It's a Mad Mad Mad Mad World,US,1963,Stanley Kramer,  576,  576
La douceur du village,FR,1963,François Reichenbach,  562,  562
Křik,"CZ, SK",1963,Jaromil Jires,  549,  549
La ricotta,"IT, FR",1963,Pier Paolo Pasolini,  548,  548
Mélodie en sous-sol,"FR, IT",1963,Henri Verneuil,  476,  476
Da No Tien Gu,CN,1963,"Wan Laiming, Cheng Tang",  452,  452
La cuisine au beurre,"FR, IT",1963,Gilles Grangier,  445,  445
D'où viens-tu... Johnny?,FR,1963,Noël Howard,  428,  428
Der Zinker,DK,1963,Alfred Vohrer,  423,  423
Le petit soldat,FR,1963,Jean-Luc Godard,  413,  413
Nunca pasa nada,"ES, FR",1963,Juan Antonio Bardem,  398,  398
Marisol rumbo a Río,ES,1963,Fernando Palacios,  394,  394
O něčem jiném,"CZ, SK",1963,Vera Chytilová,  389,  389
Los Tarantos,ES,1963,Francisco Rovira Beleta,  365,  365
Le meurtrier,"FR, DE, IT",1963,Claude Autant-Lara,  360,  360
Il giorno più corto,IT,1963,Sergio Corbucci,  353,  353
"Hitler, connais pas",FR,1963,Bertrand Blier,  341,  341
Shéhérazade,"FR, IT, ES",1963,Pierre Gaspard-Huit,  325,  325
La corruzione,"IT, FR",1963,Mauro Bolognini,  319,  319
Oldás és kötés,HU,1963,Miklós Jancsó,  313,  313
Mourir à Madrid,FR,1963,Frédéric Rossif,  309,  309
Organ,"CZ, SK",1963,Štefan Uher,  307,  307
Susuz Yaz,TR,1963,Metin Erksan,  255,  255
El Gran Show,IT,1963,Mino Loy,  251,  251
Keirin shônin gyôjyôki,JP,1963,Shôgorô Nishimura,  236,  236
L'aîné des Ferchaux,"FR, IT",1963,Jean-Pierre Melville,  231,  231
Ya shagayu po Moskve,SU,1963,Georgiy Daneliya,  227,  227
Lilies of the Field,US,1963,Ralph Nelson,  219,  219
El juego de la verdad,"FR, ES",1963,José María Forqué,  219,  219
Maigret voit rouge,"FR, IT",1963,Gilles Grangier,  210,  210
Mici néni két élete,HU,1963,Frigyes Mamcserov,  191,  191
The Courtship of Eddie's Father,US,1963,Vincente Minnelli,  190,  190
La Tía Tula,ES,1963,Miguel Picazo,  173,  173
Nackt unter Wölfen,DD,1963,Frank Beyer,  168,  168
"Hanák, Havetta, Jakubisko, pásmo","CZ, SK",1963,"Dusan Hanák, Elo Havetta, Juraj Jakubisko",  166,  166
Boxer a smrt,"CZ, SK",1963,Peter Solan,  160,  160
Acto da Primavera,PT,1963,Manoel de Oliveira,  155,  155
Spanilá jizda,"CZ, SK",1963,Oldrich Danek,  149,  149
"L'honorable Stanislas, agent secret","FR, IT",1963,Jean-Charles Dudrumet,  145,  145
Los inocentes,"ES, AR",1963,Juan Antonio Bardem,  130,  130
Tom Jones,GB,1963,Tony Richardson,  129,  129
Carta a una mujer,ES,1963,Miguel Iglesias,  114,  114
X,US,1963,Roger Corman,  110,  110
Cas jerabin,"CZ, SK",1963,Miroslav Sobota,  108,  108
Château en Suède,"FR, IT",1963,Roger Vadim,  106,  106
Vacanta la mare,RO,1963,Andrei Calarasu,  103,  103
Hlídač dynamitu,"CZ, SK",1963,"Hynek Bocan, Zdenek Sirový",  100,  100
Fietsen naar de maan,NL,1963,Jef van der Heyden,  99,  99
Vidas Secas,BR,1963,Nelson Pereira dos Santos,  96,  96
Lauantaileikit,FI,1963,Maunu Kurkvaara,  95,  95
The Wrong Arm of the Law,GB,1963,Cliff Owen,  94,  94
Pigen og pressefotografen,DK,1963,Sven Methling,  90,  90
Groteszk,HU,1963,Zoltán Huszárik,  90,  90
In the Cool of the Day,US,1963,Robert Stevens,  88,  88
Dementia 13,US,1963,Francis Ford Coppola,  86,  86
Judex,"FR, IT",1963,Georges Franju,  84,  84
Neklidnou hladinou,"CZ, SK",1963,Václav Gajer,  83,  83
Die endlose Nacht,DE,1963,Will Tremper,  77,  77
The Prize,US,1963,Mark Robson,  72,  72
Závrat,"CZ, SK",1963,Karel Kachyňa,  71,  71
Párbeszéd,HU,1963,János Herskó,  68,  68
Streng geheim,DD,1963,János Veiczi,  67,  67
"À cause, à cause d'une femme",FR,1963,Michel Deville,  62,  62
Bolek i Lolek,PL,1963,"Marian Cholerek, Stanislaw Dulz, Lechoslaw Marszalek, Wladyslaw Nehrebecki, Bronislaw Zeman, Józef Cwiertnia, Waclaw Wajser, Zdzislaw Kudla, Leszek Lorek, Alfred Ledwig, Romuald Klys, Józef Byrdy, Ryszard Lepióra, Edward Wator",  60,  60
Igézet,HU,1963,István Bácskai Lauro,  60,  60
4 for Texas,US,1963,Robert Aldrich,  51,  51
Las Gemelas,ES,1963,Antonio del Amo,  49,  49
Støvsugerbanden,DK,1963,Bent Christensen,  47,  47
Pássaros de Asas Cortadas,PT,1963,Artur Ramos,  43,  43
Bylo nás deset,"CZ, SK",1963,Antonín Kachlík,  41,  41
Miénk a világ,HU,1963,Ferenc Kardos,  40,  40
Na laně,"CZ, SK",1963,Ivo Novák,  40,  40
Kedd,HU,1963,Márk Novák,  35,  35
Les carabiniers,"FR, IT",1963,Jean-Luc Godard,  34,  34
Jánosík,"CZ, SK",1963,Palo Bielik,  33,  33
Ensayo general para la muerte,ES,1963,Julio Coll,  33,  33
Tri zlaté vlasy deda Vseveda,"CZ, SK",1963,Ján Valásek,  32,  32
Fun in Acapulco,US,1963,Richard Thorpe,  32,  32
Il demonio,"IT, FR",1963,Brunello Rondi,  31,  31
Auto de Floripes,PT,1963,António Lopes Fernandes,  30,  30
Los farsantes,ES,1963,Mario Camus,  28,  28
Rififí en la ciudad,"ES, FR",1963,Jesus Franco,  26,  26
Holnaptól kezdve,HU,1963,József Nepp,  25,  25
Murder at the Gallop,GB,1963,George Pollock,  19,  19
La máscara de Scaramouche,ES,1963,Antonio Isasi-Isasmendi,  19,  19
Hallelujah the Hills,US,1963,Adolfas Mekas,  17,  17
A Monológ,HU,1963,György Kovásznai,  17,  17
Prázdniny s Minkou,"CZ, SK",1963,Josef Pinkava,  16,  16
Találkozás,HU,1963,Judit Elek,  16,  16
Okurkový hrdina,"CZ, SK",1963,Cestmír Mlíkovsky,  14,  14
Ganga Zumba,BR,1963,Carlos Diegues,  11,  11
Zbrodniarz i panna,PL,1963,Janusz Nasfeter,  10,  10
Mykoin PH 510,"CZ, SK",1963,Jirí Lehovec,  10,  10
La belle vie,FR,1963,Robert Enrico,  9,  9
Dióbél királyfi,HU,1963,Attila Dargay,  8,  8
Prselo jim stesti,"CZ, SK",1963,Antonín Kachlík,  7,  7
Pouic-Pouic,FR,1963,Jean Girault,  7,  7
Jak byc kochana,PL,1963,Wojciech Has,  4,  4
Opus jazz,PL,1963,Janusz Majewski,  2,  2
"Hogy állunk, fiatalember?",HU,1963,György Révész,  2,  2
Fotó Háber,HU,1963,Zoltán Várkonyi,  2,  2
The Beast of Babylon Against the Son of Hercules,"IT, FR",1963,Siro Marcellini,  2,  2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"US, GB",1964,Stanley Kubrick, 230 224, 230 224
A Hard Day's Night,GB,1964,Richard Lester, 162 468, 162 468
L'homme de Rio,"IT, FR",1964,Philippe de Broca, 157 585, 157 585
Per un pugno di dollari,"IT, ES, DE",1964,Sergio Leone, 118 190, 118 190
Amintiri din copilarie,RO,1964,Elisabeta Bostan, 111 988, 111 988
Les parapluies de Cherbourg,FR,1964,Jacques Demy, 73 499, 73 499
Il Vangelo secondo Matteo,"IT, FR",1964,Pier Paolo Pasolini, 71 631, 71 631
Soy Cuba,"CU, SU",1964,Mikhail Kalatozov, 56 565, 56 565
Il giovedì,IT,1964,Dino Risi, 34 176, 34 176
Matrimonio all'italiana,IT,1964,Vittorio De Sica, 26 451, 26 451
Kapr,"CZ, SK",1964,Jiří Hanibal, 23 000, 23 000
Goldfinger,GB,1964,Guy Hamilton, 22 123, 22 123
Bande à part,FR,1964,Jean-Luc Godard, 20 596, 20 596
Marnie,US,1964,Alfred Hitchcock, 19 786, 19 786
Il deserto rosso,"IT, FR",1964,Michelangelo Antonioni, 18 199, 18 199
Le journal d'une femme de chambre,FR,1964,Luis Buñuel, 17 954, 17 954
Mary Poppins,US,1964,Robert Stevenson, 17 529, 17 529
Charulata,IN,1964,Satyajit Ray, 16 704, 16 704
Tini zabutykh predkiv,SU,1964,Sergei Parajanov, 16 266, 16 266
Gertrud,DK,1964,Carl Theodor Dreyer, 13 942, 13 942
Suna no onna,JP,1964,Hiroshi Teshigahara, 13 719, 13 719
Paskutine atostogu diena,SU,1964,Arunas Zebriunas, 12 566, 12 566
Alexis Zorbas,"US, GR",1964,Michael Cacoyannis, 11 532, 11 532
Midareru,JP,1964,Mikio Naruse, 10 975, 10 975
Prima della rivoluzione,IT,1964,Bernardo Bertolucci, 10 054, 10 054
Padurea spînzuratilor,RO,1964,Liviu Ciulei, 9 770, 9 770
My Fair Lady,US,1964,George Cukor, 8 615, 8 615
The Killers,US,1964,Don Siegel, 8 523, 8 523
Limonádový Joe aneb Koňská opera,"CZ, SK",1964,Oldrich Lipský, 8 380, 8 380
Černý Petr,"CZ, SK",1964,Milos Forman, 8 241, 8 241
Nothing But a Man,US,1964,Michael Roemer, 7 807, 7 807
Cheyenne Autumn,US,1964,John Ford, 7 769, 7 769
"Tjorven, Båtsman och Moses",SE,1964,Olle Hellbom, 7 637, 7 637
Sedotta e abbandonata,"IT, FR",1964,Pietro Germi, 7 629, 7 629
Manji,JP,1964,Yasuzo Masumura, 7 602, 7 602
Un gosse de la butte,FR,1964,Maurice Delbez, 7 237, 7 237
Démanty noci,"CZ, SK",1964,Jan Nemec, 7 112, 7 112
Se permettete parliamo di donne,"IT, FR",1964,Ettore Scola, 6 602, 6 602
The Night of the Iguana,US,1964,John Huston, 6 152, 6 152
La peau douce,"FR, PT",1964,François Truffaut, 5 777, 5 777
Man's Favorite Sport?,US,1964,Howard Hawks, 5 759, 5 759
Kawaita hana,JP,1964,Masahiro Shinoda, 5 400, 5 400
Sex and the Single Girl,US,1964,Richard Quine, 5 292, 5 292
Atentát,"CZ, SK",1964,Jirí Sequens, 5 165, 5 165
Starci na chmelu,"CZ, SK",1964,Ladislav Rychman, 4 709, 4 709
Comizi d'amore,IT,1964,Pier Paolo Pasolini, 4 500, 4 500
A Shot in the Dark,GB,1964,Blake Edwards, 4 420, 4 420
Neamul Soimarestilor,RO,1964,Mircea Dragan, 3 550, 3 550
"Kiss me, Stupid",US,1964,Billy Wilder, 3 376, 3 376
Sei donne per l'assassino,"IT, MC, FR",1964,Mario Bava, 3 269, 3 269
L'insoumis,"FR, IT",1964,Alain Cavalier, 3 110, 3 110
Une femme mariée: Suite de fragments d'un film tourné en 1964,FR,1964,Jean-Luc Godard, 2 846, 2 846
The Pawnbroker,US,1964,Sidney Lumet, 2 633, 2 633
Le gendarme de Saint-Tropez,"FR, IT",1964,Jean Girault, 2 301, 2 301
Lütt Matten und die weiße Muschel,DD,1964,Herrmann Zschoche, 2 112, 2 112
Siamo Italiani,CH,1964,"Alexander J. Seiler, Rob Gnant, June Kovach", 2 039, 2 039
The Train,"FR, IT, US",1964,John Frankenheimer, 2 029, 2 029
Der geteilte Himmel,DD,1964,Konrad Wolf, 1 893, 1 893
Die goldene Gans,DD,1964,Siegfried Hartmann, 1 856, 1 856
Deus e o Diabo na Terra do Sol,BR,1964,Glauber Rocha, 1 851, 1 851
El camino,ES,1964,Ana Mariscal, 1 596, 1 596
För att inte tala om alla dessa kvinnor,SE,1964,Ingmar Bergman, 1 589, 1 589
Kdyby tisíc klarinetů,"CZ, SK",1964,"Ján Rohác, Vladimír Svitácek", 1 561, 1 561
The Americanization of Emily,US,1964,Arthur Hiller, 1 521, 1 521
Fantômas,"FR, IT",1964,André Hunebelle, 1 479, 1 479
Onibaba,JP,1964,Kaneto Shindô, 1 461, 1 461
Tintin et les oranges bleues,"FR, ES",1964,Philippe Condroyer, 1 451, 1 451
Becket,GB,1964,Peter Glenville, 1 434, 1 434
Nikutai no mon,JP,1964,Seijun Suzuki, 1 413, 1 413
Älskande par,SE,1964,Mai Zetterling, 1 138, 1 138
The Gorgon,GB,1964,Terence Fisher, 1 001, 1 001
Dead Ringer,US,1964,Paul Henreid,  983,  983
Die Suche nach dem wunderbunten Vögelchen,DD,1964,Rolf Losansky,  951,  951
La grande frousse,FR,1964,Jean-Pierre Mocky,  918,  918
Winnetou - 2. Teil,"DE, FR, IT, YU",1964,Harald Reinl,  885,  885
Hvězda zvaná Pelyněk,"CZ, SK",1964,Martin Fric,  835,  835
Cent mille dollars au soleil,"FR, IT",1964,Henri Verneuil,  796,  796
La donna scimmia,"IT, FR",1964,Marco Ferreri,  746,  746
Belarmino,PT,1964,Fernando Lopes,  682,  682
Les Barbouzes,"FR, IT",1964,Georges Lautner,  655,  655
Bláznova kronika,"CZ, SK",1964,Karel Zeman,  602,  602
Obžalovaný,"CZ, SK",1964,"Ján Kadár, Elmar Klos",  596,  596
Každý den odvahu,"CZ, SK",1964,Evald Schorm,  545,  545
Week-end à Zuydcoote,"FR, IT",1964,Henri Verneuil,  538,  538
"Hush...Hush, Sweet Charlotte",US,1964,Robert Aldrich,  528,  528
Die Abenteuer des Werner Holt,DD,1964,Joachim Kunert,  526,  526
Honeymoon of Horror,US,1964,Irwin Meyer,  495,  495
Lope de Vega,ES,1964,Jesús Fernández Santos,  493,  493
La chasse à l'homme,"FR, IT",1964,Édouard Molinaro,  406,  406
The Naked Kiss,US,1964,Samuel Fuller,  358,  358
Fail Safe,US,1964,Sidney Lumet,  335,  335
Hattyúdal,HU,1964,Márton Keleti,  335,  335
Les félins,FR,1964,René Clément,  280,  280
La vie à l'envers,FR,1964,Alain Jessua,  258,  258
Máte doma lva?,"CZ, SK",1964,Pavel Hobl,  257,  257
Seven Days in May,US,1964,John Frankenheimer,  222,  222
"Sonría, por favor",ES,1964,"Silvio Fernández Balbuena, Silvio F. Balbuena, Manuel Caño, Silvio Fernández",  220,  220
The Masque of the Red Death,GB,1964,Roger Corman,  219,  219
Lilith,US,1964,Robert Rossen,  211,  211
"Do svidaniya, malchiki!",SU,1964,Mikhail Kalik,  191,  191
Zulu,GB,1964,Cy Endfield,  176,  176
The Monster of Camp Sunshine or How I Learned to Stop Worrying and Love Nature,US,1964,Ferenc Leroget,  156,  156
Chair de poule,"FR, IT",1964,Julien Duvivier,  148,  148
Los Palomos,ES,1964,Fernando Fernán Gómez,  136,  136
The Visit,"IT, FR, DE, US",1964,Bernhard Wicki,  131,  131
Sommer i Tyrol,DK,1964,Erik Balling,  123,  123
Akai satsui,JP,1964,Shôhei Imamura,  120,  120
Zacít znova,CZ,1964,"Miroslav Hubácek, Vladislav Delong",  120,  120
El escándalo,ES,1964,Javier Setó,  117,  117
Die Physiker,DE,1964,Fritz Umgelter,  115,  115
Gamlet,SU,1964,Grigori Kozintsev,  112,  112
Cintamani a podvodnik,"CZ, SK",1964,Jirí Krejcík,  109,  109
Monsieur,FR,1964,Jean-Paul Le Chanois,  108,  108
The High Bright Sun,GB,1964,Ralph Thomas,  107,  107
The Fall of the Roman Empire,US,1964,Anthony Mann,  96,  96
What a Way to Go!,US,1964,J. Lee Thompson,  94,  94
La Niña de luto,ES,1964,Manuel Summers,  88,  88
La ragazza di Bube,"IT, FR",1964,Luigi Comencini,  83,  83
Circus World,"US, ES",1964,Henry Hathaway,  80,  80
Woman of Straw,GB,1964,Basil Dearden,  79,  79
Rio Conchos,US,1964,Gordon Douglas,  76,  76
Les apprentis,CH,1964,Alain Tanner,  72,  72
To Homa vaftike kokkino,GR,1964,Vassilis Georgiadis,  71,  71
Przygody Gapiszona,PL,1964,Jerzy Kotowski,  67,  67
Fádní odpoledne + Sběrné surovosti (compilation),"CZ, SK",1964,"Juraj Herz, Ivan Passer",  66,  66
"Táto, sezen stene","CZ, SK",1964,Milan Vosmik,  64,  64
Maria Callas at Covent Garden,GB,1964,Franco Zeffirelli,  61,  61
A holdhorgász,HU,1964,Tibor Csermák,  60,  60
The Pumpkin Eater,GB,1964,Jack Clayton,  56,  56
Sodrásban,HU,1964,István Gaál,  53,  53
Cumbite,CU,1964,Tomás Gutiérrez Alea,  52,  52
Behold a Pale Horse,US,1964,Fred Zinnemann,  47,  47
"Mata Hari, agent H21","FR, IT",1964,Jean-Louis Richard,  47,  47
Vysoká zed,"CZ, SK",1964,Karel Kachyňa,  45,  45
Der Nussknacker,"DE, US",1964,Heinz Liesendahl,  38,  38
Kampen om Næsbygård,DK,1964,"Ib Mossin, Alice O'Fredericks",  37,  37
The Disorderly Orderly,US,1964,Frank Tashlin,  37,  37
"Angélique, marquise des anges","FR, DE, IT",1964,Bernard Borderie,  35,  35
Bez svatozáre,CZ,1964,Ladislav Helge,  35,  35
Young Sánchez,ES,1964,Mario Camus,  34,  34
Murder Ahoy,GB,1964,George Pollock,  33,  33
Send Me No Flowers,US,1964,Norman Jewison,  31,  31
Kaidan,JP,1964,Masaki Kobayashi,  30,  30
"Dobro pozhalovat, ili Postoronnim vkhod vospreshchen",SU,1964,Elem Klimov,  30,  30
491,SE,1964,Vilgot Sjöman,  29,  29
Käre John,SE,1964,Lars-Magnus Lindgren,  29,  29
Good Neighbor Sam,US,1964,David Swift,  28,  28
Anotimpuri,RO,1964,Savel Stiopul,  28,  28
Gusztáv az állatbarát,HU,1964,József Nepp,  25,  25
Mese a bogárról,HU,1964,József Nepp,  25,  25
Viva Las Vegas,US,1964,George Sidney,  25,  25
Two Thousand Maniacs!,US,1964,Herschell Gordon Lewis,  24,  24
La mia signora,IT,1964,"Tinto Brass, Mauro Bolognini, Luigi Comencini",  24,  24
Murder Most Foul,GB,1964,George Pollock,  18,  18
Dvanáct,"CZ, SK",1964,Eva Sadková,  17,  17
Színe és Fonákja,HU,1964,Sándor Simó,  16,  16
Romantikus Történet,HU,1964,Gyula Macskássy,  16,  16
Twice a Man,US,1964,Gregory J. Markopoulos,  15,  15
Cesta hlubokým lesem,"CZ, SK",1964,Stepán Skalský,  15,  15
Einstein kontra Babinský,"CZ, SK",1964,Zdenek Podskalský,  15,  15
La mente y el crimen,MX,1964,Alejandro Galindo,  13,  13
Lito vilovito,YU,1964,Obrad Gluscevic,  12,  12
Faites sauter la banque!,FR,1964,Jean Girault,  12,  12
Komedie s Klikou,"CZ, SK",1964,Václav Krska,  12,  12
Raportti eli balladi laivatytöistä,FI,1964,Maunu Kurkvaara,  11,  11
Blind kind,NL,1964,Johan van der Keuken,  10,  10
Isidro el labrador,ES,1964,Rafael J. Salvia,  10,  10
A tiro limpio,ES,1964,Francisco Pérez-Dolz,  9,  9
Italiani brava gente,"IT, SU",1964,Giuseppe De Santis,  9,  9
King & Country,GB,1964,Joseph Losey,  8,  8
The Brig,US,1964,"Judith Malina, Jonas Mekas",  6,  6
Prawo i piesc,PL,1964,"Jerzy Hoffman, Edward Skórzewski",  4,  4
Pacsirta,HU,1964,László Ranódy,  4,  4
Giuseppe w Warszawie,PL,1964,Stanislaw Lenartowicz,  2,  2
The Last Man on Earth,"IT, US",1964,"Ubaldo Ragona, Sidney Salkow",  1,  1
A High Wind in Jamaica,GB,1965,Alexander Mackendrick, 98 299, 98 299
The Sound of Music,US,1965,Robert Wise, 44 197, 44 197
Pierrot le fou,FR,1965,Jean-Luc Godard, 41 821, 41 821
La battaglia di Algeri,"DZ, IT",1965,Gillo Pontecorvo, 32 881, 32 881
Doctor Zhivago,US,1965,David Lean, 31 000, 31 000
Signore & Signori,IT,1965,Pietro Germi, 27 908, 27 908
Per qualche dollaro in più,"IT, ES, DE, MO",1965,Sergio Leone, 20 240, 20 240
Vaghe stelle dell'Orsa...,IT,1965,Luchino Visconti, 19 024, 19 024
Seisaku no tsuma,JP,1965,Yasuzo Masumura, 16 200, 16 200
De-as fi Harap Alb,RO,1965,Ion Popescu-Gopo, 14 375, 14 375
Uccellacci e uccellini,IT,1965,Pier Paolo Pasolini, 13 437, 13 437
Akahige,JP,1965,Akira Kurosawa, 13 356, 13 356
El mundo sigue,ES,1965,Fernando Fernán Gómez, 12 573, 12 573
Lásky jedné plavovlásky,"CZ, SK",1965,Milos Forman, 12 208, 12 208
Chimes at Midnight,"FR, ES, CH",1965,Orson Welles, 12 055, 12 055
I pugni in tasca,IT,1965,Marco Bellocchio, 11 727, 11 727
"Alphaville, une étrange aventure de Lemmy Caution","FR, IT",1965,Jean-Luc Godard, 11 585, 11 585
Repulsion,US,1965,Roman Polanski, 11 366, 11 366
Obchod na korze,"CZ, SK",1965,"Ján Kadár, Elmar Klos", 11 215, 11 215
Io la conoscevo bene,"IT, DE, FR",1965,Antonio Pietrangeli, 9 179, 9 179
La vie de château,FR,1965,Jean-Paul Rappeneau, 9 080, 9 080
La vieille dame indigne,FR,1965,René Allio, 8 854, 8 854
Yoyo,FR,1965,Pierre Étaix, 6 698, 6 698
Giulietta degli spiriti,"IT, FR, DE",1965,Federico Fellini, 6 205, 6 205
"What's New, Pussycat",US,1965,Clive Donner, 5 302, 5 302
Tjorven och Skrållan,SE,1965,Olle Hellbom, 5 099, 5 099
The Great Race,US,1965,Blake Edwards, 4 961, 4 961
Le corniaud,"FR, IT",1965,Gérard Oury, 4 502, 4 502
Le Bonheur,FR,1965,Agnès Varda, 4 362, 4 362
Thunderball,GB,1965,Terence Young, 4 308, 4 308
Paris vu par...,FR,1965,"Claude Chabrol, Jean-Luc Godard, Jean Douchet, Eric Rohmer, Jean-Daniel Pollet, Jean Rouch", 4 154, 4 154
Terrore nello spazio,"IT, ES",1965,Mario Bava, 4 131, 4 131
Etsuraku,JP,1965,Nagisa Ôshima, 3 882, 3 882
Rekopis znalezyony w Saragossie,PL,1965,Wojciech Has, 3 863, 3 863
Gamperaliya,LK,1965,Lester James Peries, 3 823, 3 823
Bunny Lake Is Missing,GB,1965,Otto Preminger, 3 677, 3 677
The Art of Love,US,1965,Norman Jewison, 3 595, 3 595
I de gyni na fovitai ton andra,GR,1965,Yorgos Tzavellas, 3 285, 3 285
Sugata Sanshiro,JP,1965,Seiichiro Uchikawa, 3 276, 3 276
Voyna i mir I: Andrey Bolkonskiy,SU,1965,Sergey Bondarchuk, 3 031, 3 031
I complessi,"IT, FR",1965,"Luigi Filippo D'Amico, Dino Risi, Franco Rossi", 2 893, 2 893
La decima vittima,"IT, FR",1965,Elio Petri, 2 724, 2 724
Major Dundee,US,1965,Sam Peckinpah, 2 618, 2 618
Kapurush,IN,1965,Satyajit Ray, 2 484, 2 484
The Ipcress File,GB,1965,Sidney J. Furie, 2 252, 2 252
Le soldatesse,"IT, FR, DE, YU",1965,Valerio Zurlini, 2 163, 2 163
The Hill,GB,1965,Sidney Lumet, 2 100, 2 100
Kärlek 65,SE,1965,Bo Widerberg, 1 854, 1 854
Les grandes gueules,"FR, IT",1965,Robert Enrico, 1 783, 1 783
Ať žije republika,"CZ, SK",1965,Karel Kachyňa, 1 722, 1 722
Mahapurush,IN,1965,Satyajit Ray, 1 707, 1 707
The Collector,"GB, US",1965,William Wyler, 1 669, 1 669
Il mostro di Venezia,IT,1965,Dino Tavella, 1 526, 1 526
Viva Maria!,"FR, IT",1965,Louis Malle, 1 477, 1 477
Rysopis,PL,1965,Jerzy Skolimowski, 1 241, 1 241
Obyknovennyj fashizm,SU,1965,Mikhail Romm, 1 222, 1 222
Prípad Barnabáš Kos,"CZ, SK",1965,Peter Solan, 1 194, 1 194
Perličky na dně,"CZ, SK",1965,"Vera Chytilová, Jaromil Jires, Jiří Menzel, Jan Nemec, Evald Schorm", 1 163, 1 163
Morozko,SU,1965,Aleksandr Rou, 1 109, 1 109
Faraon,PL,1965,Jerzy Kawalerowicz, 1 033, 1 033
Rascoala,RO,1965,Mircea Muresan,  935,  935
Walkower,PL,1965,Jerzy Skolimowski,  888,  888
Bílá paní,"CZ, SK",1965,Zdenek Podskalský,  886,  886
L'arme à gauche,"FR, IT, ES",1965,Claude Sautet,  850,  850
Shunpu den,JP,1965,Seijun Suzuki,  841,  841
Winnetou - 3. Teil,"DE, IT, YU, FR",1965,Harald Reinl,  759,  759
König Drosselbart,DD,1965,Walter Beck,  738,  738
Un amore,"IT, FR",1965,Gianni Vernuccio,  690,  690
Compartiment tueurs,FR,1965, Costa-Gavras,  643,  643
A tizedes meg a többiek,HU,1965,Márton Keleti,  613,  613
Battle of the Bulge,US,1965,Ken Annakin,  601,  601
Orgy of the Dead,US,1965,Stephen C. Apostolof,  592,  592
Chovek nije tica,YU,1965,Dusan Makavejev,  585,  585
A köszívü ember fiai,HU,1965,Zoltán Várkonyi,  578,  578
The Sandpiper,US,1965,Vincente Minnelli,  429,  429
The Family Jewels,US,1965,Jerry Lewis,  399,  399
Help!,GB,1965,Richard Lester,  390,  390
