,original title,producing country,production year,directors,visitors
8062,She Good Fighter,BE,1995,Mark Punt,105000
8063,Unstrung Heroes,US,1995,Diane Keaton,104645
8064,Jack & Sarah,"GB, FR",1995,Tim Sullivan,104147
8065,Nic smiesznego,PL,1995,Marek Koterski,103785
8066,Salut cousin !,"FR, BE, LU",1995,Merzak Allouache,103347
8067,A Comédia de Deus,"PT, FR, DK, IT",1995,João César Monteiro,102583
8068,Mortinho por Chegar a Casa,"NL, PT",1995,"George Sluizer, Carlos da Silva",101165
8069,Independence Day,US,1996,Roland Emmerich,42600343
8070,The Hunchback of Notre Dame,US,1996,"Gary Trousdale, Kirk Wise",24660478
8071,Mission: Impossible,US,1996,Brian De Palma,22718868
8072,101 Dalmatians,US,1996,Stephen Herek,21623260
8073,Twister,US,1996,Jan de Bont,19039314
8074,The English Patient,"US, GB",1996,Anthony Minghella,17296944
8075,The Rock,US,1996,Michael Bay,16828183
8076,The Nutty Professor,US,1996,Tom Shadyac,16384213
8077,Space Jam,US,1996,Joe Pytka,15249396
8078,Ransom,US,1996,Ron Howard,14898600
8079,Evita,"US, GB",1996,Alan Parker,13420144
8080,Sleepers,US,1996,Barry Levinson,12130968
8081,Romeo + Juliet,US,1996,Baz Luhrmann,9975393
8082,Eraser,US,1996,Chuck Russell,9341118
8083,Scream,US,1996,Wes Craven,9289219
8084,Trainspotting,GB,1996,Danny Boyle,9253707
8085,The First Wives Club,US,1996,Hugh Wilson,8824849
8086,Jerry Maguire,US,1996,Cameron Crowe,8244109
8087,Mars Attacks!,US,1996,Tim Burton,7442643
8088,Daylight,US,1996,Rob Cohen,7372634
8089,Spy Hard,US,1996,Rick Friedberg,6990772
8090,Jingle All The Way,US,1996,Brian Levant,6887853
8091,Striptease,US,1996,Andrew Bergman,6367023
8092,Up Close & Personal,US,1996,Jon Avnet,6212295
8093,Dragonheart,US,1996,Rob Cohen,6025819
8094,Microcosmos : le peuple de l'herbe,"FR, IT, CH",1996,"Claude Nuridsany, Marie Pérennou",5877305
8095,Star Trek: First contact,US,1996,Jonathan Frakes,5827241
8096,The Birdcage,US,1996,Mike Nichols,5760620
8097,Il ciclone,IT,1996,Leonardo Pieraccioni,5599149
8098,One Fine Day,US,1996,Michael Hoffman,5506869
8099,Werner - Das muß kesseln!!!,DE,1996,"Udo Beissel, Michael Schaack",5329585
8100,Le huitième jour,"FR, BE, GB, LU",1996,Jaco van Dormael,5266302
8101,Executive Decision,US,1996,Stuart Baird,4873081
8102,Shine,AU,1996,Scott Hicks,4723196
8103,Phenomenon,US,1996,Jon Turteltaub,4643941
8104,Broken Arrow,US,1996,John Woo,4619791
8105,Pédale douce,FR,1996,Gabriel Aghion,4538281
8106,Matilda,US,1996,Danny DeVito,4452605
8107,Secrets & Lies,GB,1996,Mike Leigh,4418676
8108,Primal Fear,US,1996,Gregory Hoblit,4199869
8109,From Dusk till Dawn,US,1996,Robert Rodriguez,4168340
8110,A Time to Kill,US,1996,Joel Schumacher,4141197
8111,The Long Kiss Goodnight,US,1996,Renny Harlin,3959323
8112,Everyone Says I Love You,US,1996,Woody Allen,3939834
8113,The Adventures of Pinocchio,"US, GB, CZ, DE, FR",1996,Steve Barron,3887425
8114,Michael Collins,"US, IE",1996,Neil Jordan,3807951
8115,The Juror,US,1996,Brian Gibson,3718183
8116,The Cable Guy,US,1996,Ben Stiller,3589515
8117,Männerpension,DE,1996,Detlev Buck,3366912
8118,The Craft,US,1996,Andrew Fleming,3333266
8119,Breaking the Waves,"DK, SE, FR, NL",1996,Lars von Trier,3296246
8120,The Ghost and the Darkness,US,1996,Stephen Hopkins,3263597
8121,Kolya,"CZ, FR, GB",1996,Jan Sverák,3037806
8122,Chain Reaction,US,1996,Andrew Davis,3035325
8123,The Mirror Has Two Faces,US,1996,Barbra Streisand,2983967
8124,Eskiya,"TR, FR, BG",1996,Yavuz Turgul,2828604
8125,Le Jaguar,FR,1996,Francis Veber,2784053
8126,Ridicule,"FR, DE",1996,Patrice Leconte,2758828
8127,Fargo,US,1996,"Joel Coen, Ethan Coen",2687002
8128,Un air de famille,FR,1996,Cédric Klapisch,2661650
8129,The People vs. Larry Flynt,US,1996,Milos Forman,2625767
8130,The Quest,US,1996,Jean-Claude Van Damme,2624918
8131,Diabolique,US,1996,Jeremiah S. Chechik,2566508
8132,James and the Giant Peach,US,1996,Henry Selick,2522900
8133,Emma,"US, GB",1996,Douglas McGrath,2505400
8134,Brassed Off!,GB,1996,Mark Herman,2491185
8135,The Truth About Cats & Dogs,US,1996,Michael Lehmann,2456537
8136,Le plus beau métier du monde,FR,1996,Gérard Lauzier,2443268
8137,Das Superweib,DE,1996,Sönke Wortmann,2433990
8138,A spasso nel tempo,IT,1996,Carlo Vanzina,2427367
8139,Stealing Beauty,"IT, FR, US",1996,Bernardo Bertolucci,2394789
8140,Jack,US,1996,Francis Ford Coppola,2387859
8141,High School High,US,1996,Hart Bochner,2305662
8142,Courage Under Fire,US,1996,Edward Zwick,2248597
8143,Last Man Standing,US,1996,Walter Hill,2228953
8144,The Glimmer Man,US,1996,John Gray,2157529
8145,Maximum Risk,US,1996,Ringo Lam,2122795
8146,"Beaumarchais, l'insolent",FR,1996,Édouard Molinaro,2070827
8147,Dunston Checks In,"US, CA",1996,Ken Kwapis,2011350
8148,Jenseits der Stille,DE,1996,Caroline Link,1994939
8149,Flipper,US,1996,"Alan Shapiro, Shelly Hatton",1982051
8150,Multiplicity,US,1996,Harold Ramis,1933615
8151,Tin Cup,US,1996,Ron Shelton,1920013
8152,The Fan,US,1996,Tony Scott,1919466
8153,Michael,US,1996,Nora Ephron,1918868
8154,Fly Away Home,US,1996,Carroll Ballard,1909628
8155,Crash,"CA, US",1996,David Cronenberg,1871796
8156,Marvin's Room,US,1996,Jerry Zaks,1799213
8157,Extreme Measures,US,1996,Michael Apted,1777929
8158,The Portrait of a Lady,US,1996,Jane Campion,1753509
8159,Irren ist männlich,DE,1996,Sherry Hormann,1721325
8160,Two Much,ES,1996,Fernando Trueba,1644465
8161,Escape from L.A.,US,1996,John Carpenter,1531621
8162,Muppet Treasure Island,US,1996,"Brian Henson, David Lane",1481443
8163,"Hommes, femmes : mode d'emploi",FR,1996,Claude Lelouch,1455404
8164,The Crow: City of Angels,US,1996,Tim Pope,1375806
8165,Down Periscope,US,1996,David S. Ward,1303965
8166,Echte Kerle,DE,1996,Rolf Silber,1238010
8167,The Island of Dr. Moreau,US,1996,"John Frankenheimer, Richard Stanley",1219354
8168,Les voleurs,FR,1996,André Téchiné,1202541
8169,The Crucible,US,1996,Nicholas Hytner,1195787
8170,Les 2 papas et la maman,FR,1996,"Jean-Marc Longval,  Smaïn",1155004
8171,In Love and War,US,1996,Richard Attenborough,1134215
8172,Wallace & Gromit: The Aardman Collection 2,GB,1996,Nick Park,1106807
8173,Y'aura t'il de la neige à Noël?,FR,1996,Sandrine Veysset,1082060
8174,Chacun cherche son chat,FR,1996,Cédric Klapisch,1080609
8175,El amor perjudica seriamente la salud,"ES, FR",1996,Manuel Gómez Pereira,1054627
8176,Sono pazzo di Iris Blond,IT,1996,Carlo Verdone,1040090
8177,Và dove ti porta il cuore,"IT, DE, FR",1996,Cristina Comencini,1027774
8178,Hercule & Sherlock,FR,1996,Jeannot Szwarc,1009553
8179,Jing cha gu shi iv: jian dan ren wu,"HK, US",1996,Stanley Tong,994264
8180,The Van,GB,1996,Stephen Frears,975027
8181,Tesis,ES,1996,Alejandro Amenábar,961187
8182,Kingpin,US,1996,"Bobby Farrelly, Peter Farrelly",955307
8183,The Frighteners,"NZ, US",1996,Peter Jackson,944523
8184,Beavis and Butt-head Do America,US,1996,"Mike Judge, Mike de Seve, Yvette Kaplan, Brian Mulroney",942164
8185,Fallait pas !...,"FR, ES",1996,Gérard Jugnot,930757
8186,Jägarna,SE,1996,Kjell Sundvall,930049
8187,Beautiful Girls,US,1996,Ted Demme,928870
8188,Bernie,FR,1996,Albert Dupontel,894079
8189,Les caprices d'un fleuve,"FR, IT, DE",1996,Bernard Giraudeau,888298
8190,Carla's Song,"GB, ES, DE",1996,Ken Loach,873877
8191,City Hall,US,1996,Harold Becker,861425
8192,She's the One,US,1996,Edward Burns,832559
8193,La belle verte,FR,1996,Coline Serreau,819463
8194,The Chamber,US,1996,James Foley,811790
8195,Last Dance,US,1996,Bruce Beresford,800774
8196,Uomo d'acqua dolce,IT,1996,Antonio Albanese,800474
8197,The Preacher's Wife,US,1996,Penny Marshall,796452
8198,Sgt. Bilko,US,1996,Jonathan Lynn,782220
8199,Surviving Picasso,US,1996,James Ivory,770791
8200,Jerusalem,"SE, DK, NO, FI",1996,Bille August,769251
8201,Delphine : 1 - Yvan : 0,FR,1996,Dominique Farrugia,767045
8202,Blood and Wine,"US, GB",1996,Bob Rafelson,746140
8203,Workaholic,DE,1996,Sharon von Wietersheim,745490
8204,Mulholland Falls,US,1996,Lee Tamahori,729577
8205,Alaska,US,1996,Fraser Clarke Heston,726665
8206,Un divan à New York,"FR, DE, BE",1996,Chantal Akerman,725936
8207,Un héros très discret,FR,1996,Jacques Audiard,719591
8208,Abbuzze! Der Badesalz Film,DE,1996,Roland Willaert,718934
8209,Jude,GB,1996,Michael Winterbottom,718319
8210,Bound,US,1996,"Lilly Wachowski, Lana Wachowski",714394
8211,Mary Reilly,US,1996,Stephen Frears,714043
8212,Dzieci i ryby,PL,1996,Jacek Bromski,703866
8213,Capitaine Conan,FR,1996,Bertrand Tavernier,696161
8214,White Squall,US,1996,Ridley Scott,690436
8215,Conte d'été,FR,1996,Eric Rohmer,689038
8216,Before and After,US,1996,Barbet Schroeder,682702
8217,Bed of Roses,US,1996,Michael Goldenberg,677259
8218,The Funeral,US,1996,Abel Ferrara,672804
8219,Fled,US,1996,Kevin Hooks,669994
8220,Fear,US,1996,James Foley,627354
8221,Beautiful Thing,GB,1996,Hettie MacDonald,615216
8222,Fever Pitch,GB,1996,"David Mickey Evans, David Evans",610259
8223,Bámbola,"IT, ES, FR",1996,Bigas Luna,606236
8224,Nocne Graffiti,PL,1996,Maciej Dutkiewicz,604861
8225,Mon homme,FR,1996,Bertrand Blier,603475
8226,Libertarias,"ES, IT, BE",1996,Vicente Aranda,583043
8227,Nach Fünf im Urwald,DE,1996,Hans-Christian Schmid,582714
8228,The Substitute,US,1996,Robert Mandel,582148
8229,La Tregua,"IT, CH, FR, DE",1996,Francesco Rosi,571235
8230,"Aquí llega Condemor, el pecador de la pradera",ES,1996,Álvaro Sáenz de Heredia,561790
8231,Looking for Richard,US,1996,Al Pacino,547983
8232,That Thing You Do!,US,1996,Tom Hanks,539236
8233,Marquise,"FR, IT, CH, ES",1996,Véra Belmont,536938
8234,Kauas Pilvet Karkaavat,FI,1996,Aki Kaurismäki,526800
8235,La promesse,"BE, FR, LU",1996,"Jean-Pierre Dardenne, Luc Dardenne",526435
8236,Il barbiere di Rio,IT,1996,Giovanni Veronesi,522975
8237,Kondom des Grauens,"DE, CH",1996,Martin Walz,503244
8238,Fantozzi - Il ritorno,IT,1996,Neri Parenti,497596
8239,The Associate,US,1996,Donald Petrie,496398
8240,Kansas City,US,1996,Robert Altman,486943
8241,Istanbul Kanatlarimin Altinda,"TR, ES, NL",1996,Mustafa Altioklar,471300
8242,Homeward Bound II: Lost in San Francisco,US,1996,David R. Ellis,465084
8243,Fantôme avec chauffeur,FR,1996,Gérard Oury,456708
8244,Der Unhold,"DE, FR, GB, PL",1996,Volker Schlöndorff,455967
8245,Passage à l'acte,FR,1996,Francis Girod,450238
8246,Jakten på nyresteinen,NO,1996,Vibeke Idsøe,449150
8247,Eye for an Eye,US,1996,John Schlesinger,440324
8248,L'appartement,"FR, ES, IT",1996,Gilles Mimouni,439239
8249,La Celestina,ES,1996,Gerardo Vera,437397
8250,Barb Wire,US,1996,David Hogan,434674
8251,Swingers,US,1996,Doug Liman,431290
8252,La sindrome di Stendhal,IT,1996,Dario Argento,424656
8253,Lone Star,US,1996,John Sayles,419641
8254,Harriet the Spy,US,1996,Bronwen Hughes,417865
8255,Nur aus Liebe,DE,1996,Dennis Satin,417465
8256,Twelfth Night: Or What You Will,"GB, US",1996,Trevor Nunn,416573
8257,Le affinità elettive,"IT, FR",1996,"Paolo Taviani, Vittorio Taviani",414683
8258,Hamsun,"DK, SE, NO",1996,Jan Troell,407755
8259,Lawnmower Man 2: Beyond Cyberspace,US,1996,Farhad Mann,406797
8260,Set It Off,US,1996,F. Gary Gray,403115
8261,Big Night,US,1996,"Stanley Tucci, Campbell Scott",402568
8262,Eddie,US,1996,Steve Rash,401403
8263,Jungledyret 2 - den store filmhelt,"DK, SE, NO, FI",1996,"Stefan Fjeldmark, Jørgen Lerdam, Flemming Quist Møller",392385
8264,Project: ALF,"US, DE",1996,Dick Lowry,391753
8265,Basquiat,US,1996,Julian Schnabel,385508
8266,The Wind in the Willows,GB,1996,Terry Jones,372785
8267,Heaven's Prisoners,US,1996,Phil Joanou,370923
8268,La freccia azzurra,"IT, CH, LU",1996,Enzo D'Alò,367575
8269,Titanic,US,1997,James Cameron,112156415
8270,Men in Black,US,1997,Barry Sonnenfeld,33506889
8271,The Lost World: Jurassic Park,US,1997,Steven Spielberg,28619835
8272,Bean,"GB, US",1997,Mel Smith,25810051
8273,The Full Monty,GB,1997,Peter Cattaneo,25457688
8274,Tomorrow Never Dies,"GBinc, US",1997,Roger Spottiswoode,21356195
8275,Le cinquième élément,FR,1997,Luc Besson,20808963
8276,La vita è bella,IT,1997,Roberto Benigni,20360681
8277,Hercules,US,1997,"Ron Clements, John Musker",18597297
8278,My Best Friend's Wedding,US,1997,P.J. Hogan,17340607
8279,As Good As It Gets,US,1997,James L. Brooks,16030230
8280,Liar Liar,US,1997,Tom Shadyac,12423043
8281,Seven Years in Tibet,US,1997,Jean-Jacques Annaud,12232994
8282,Alien: Resurrection,US,1997,Jean-Pierre Jeunet,10985527
8283,Flubber,US,1997,Les Mayfield,10941235
8284,Con Air,US,1997,Simon West,9994567
8285,Face/Off,US,1997,John Woo,9852678
8286,The Jackal,"US, FR, GB, DE, JP",1997,Michael Caton-Jones,9792424
8287,The Devil's Advocate,US,1997,Taylor Hackford,9559093
8288,Anastasia,US,1997,"Don Bluth, Gary Goldman",9545816
8289,Batman & Robin,US,1997,Joel Schumacher,9516805
8290,Air Force One,US,1997,Wolfgang Petersen,9496950
8291,Good Will Hunting,US,1997,Gus Van Sant,8745347
8292,Scream 2,US,1997,Wes Craven,8729480
8293,Dante's Peak,US,1997,Roger Donaldson,7739709
8294,Speed 2: Cruise Control,US,1997,Jan de Bont,7452436
8295,George of the Jungle,US,1997,Sam Weisman,7385892
8296,The Devil's Own,US,1997,Alan J. Pakula,7346877
8297,In & Out,US,1997,Frank Oz,7226692
8298,Mouse Hunt,US,1997,Gore Verbinski,6822987
8299,Starship troopers,US,1997,Paul Verhoeven,6679982
8300,Spice World,GB,1997,Bob Spiers,6269456
8301,Jackie Brown,US,1997,Quentin Tarantino,6157134
8302,The Game,US,1997,David Fincher,6071781
8303,Contact,US,1997,Robert Zemeckis,6012150
8304,The Peacemaker,US,1997,Mimi Leder,5885450
8305,I Know What You Did Last Summer,US,1997,Jim Gillespie,5870706
8306,L.A. Confidential,US,1997,Curtis Hanson,5857504
8307,Conspiracy Theory,US,1997,Richard Donner,5471965
8308,La vérité si je mens,FR,1997,Thomas Gilou,5076952
8309,The Saint,US,1997,Phillip Noyce,5075952
8310,G.I. Jane,US,1997,Ridley Scott,4960271
8311,Volcano,US,1997,Mick Jackson,4873193
8312,Fuochi d'artificio,IT,1997,Leonardo Pieraccioni,4823621
8313,Anaconda,US,1997,Luis Llosa,4533472
8314,Kiss the Girls,US,1997,Gary Fleder,4348250
8315,Le pari,FR,1997,"Didier Bourdon, Bernard Campan",4207443
8316,Metro,US,1997,Thomas Carter,4123940
8317,The Borrowers,"GBinc, US",1997,Peter Hewitt,4052029
8318,Donnie Brasco,US,1997,Mike Newell,3977081
8319,Absolute Power,US,1997,Clint Eastwood,3966726
8320,Home Alone 3,US,1997,Raja Gosnell,3960014
8321,Knockin' on Heaven's Door,DE,1997,Thomas Jahn,3882531
8322,Fierce Creatures,"US, GB",1997,"Fred Schepisi, Robert Young",3706165
8323,Deconstructing Harry,US,1997,Woody Allen,3596411
8324,Rossini,DE,1997,Helmut Dietl,3461194
8325,Kleines Arschloch,DE,1997,"Michael Schaack, Veit Vollmer",3394626
8326,Nothing to Lose,US,1997,Steve Oedekerk,3333437
8327,On connaît la chanson,"FR, CH, IT",1997,Alain Resnais,3297034
8328,Marius et Jeannette,FR,1997,Robert Guédiguian,3161486
8329,Comedian Harmonists,"DE, AT",1997,Joseph Vilsmaier,3139983
8330,Carne trémula,"ES, FR",1997,Pedro Almodóvar,3095535
8331,Tre uomini e una gamba,IT,1997,"Aldo Baglio, Giovanni Storti, Giacomo Poretti,  Giovanni, Massimo Venier",3073478
8332,Cop Land,US,1997,James Mangold,3073174
8333,Didier,FR,1997,Alain Chabat,3055627
8334,Smilla's Sense of Snow,"DE, SE, DK",1997,Bille August,2959038
8335,The Relic,US,1997,Peter Hyams,2810710
8336,Double Team,US,1997,Hark Tsui,2737553
8337,Le bossu,"FR, DE, IT",1997,Philippe de Broca,2711886
8338,Addicted to Love,US,1997,Griffin Dunne,2660004
8339,Breakdown,US,1997,Jonathan Mostow,2648210
8340,Amistad,US,1997,Steven Spielberg,2523939
8341,Ballermann 6,"DE, IT",1997,"Tom Gerhardt, Gernot Roll",2494971
8342,A Life Less Ordinary,"GB, US",1997,Danny Boyle,2355659
8343,Event Horizon,GB,1997,Paul W.S. Anderson,2333931
8344,Mr. Magoo,US,1997,Stanley Tong,2184538
8345,Airbag,"ES, DE, PT",1997,Juanma Bajo Ulloa,2176309
8346,Spawn,US,1997,Mark A.Z. Dippé,2161839
8347,Wag the Dog,US,1997,Barry Levinson,2120806
8348,Jungle 2 Jungle,US,1997,John Pasquin,2112597
8349,Mimic,US,1997,Guillermo del Toro,1981025
8350,Abre Los Ojos,"ES, FR, IT",1997,Alejandro Amenábar,1874637
8351,Lucie Aubrac,FR,1997,Claude Berri,1873718
8352,Gattaca,US,1997,Andrew Niccol,1863467
8353,Boogie Nights,US,1997,Paul Thomas Anderson,1839911
8354,Shooting Fish,GB,1997,Stefan Schwartz,1833164
8355,The Rainmaker,US,1997,Francis Ford Coppola,1816416
8356,Pippi Longstocking,"SE, DE, CA",1997,"Bill Giggie, Michael Schaack, Clive Smith, Clive A. Smith",1792402
8357,Austin Powers: International Man of Mystery,US,1997,Jay Roach,1661514
8358,Die Apothekerin,DE,1997,Rainer Kaufmann,1647039
8359,Cube,CA,1997,Vincenzo Natali,1636860
8360,Kundun,US,1997,Martin Scorsese,1630076
8361,Red Corner,US,1997,Jon Avnet,1629851
8362,Kiler,PL,1997,Juliusz Machulski,1627524
8363,An American Werewolf in Paris,"US, LU, FR, NL",1997,Anthony Waller,1621310
8364,Murder at 1600,US,1997,Dwight H. Little,1565881
8365,Les randonneurs,FR,1997,Philippe Harel,1540573
8366,Lolita,"US, FR",1997,Adrian Lyne,1517189
8367,Lost Highway,"US, FR",1997,David Lynch,1513847
8368,Nirvana,"IT, FR",1997,Gabriele Salvatores,1493151
8369,The Boxer,"IE, US",1997,Jim Sheridan,1360257
8370,The Wings Of The Dove,GB,1997,Iain Softley,1353443
8371,Western,FR,1997,Manuel Poirier,1332177
8372,Secretos del corazón,"ES, FR, PT",1997,Montxo Armendáriz,1310309
8373,Mononoke-hime,JP,1997,Hayao Miyazaki,1285230
8374,Dobermann,FR,1997,Jan Kounen,1263761
8375,Wilde,"GB, DE, JP",1997,Brian Gilbert,1232640
8376,A spasso nel tempo: l'avventura continua,IT,1997,Carlo Vanzina,1229658
8377,The Ice Storm,US,1997,Ang Lee,1228380
8378,Picture Perfect,US,1997,Glenn Gordon Caron,1225947
8379,Turbulence,US,1997,Robert Butler,1209267
8380,Mrs. Brown,GB,1997,John Madden,1197325
8381,Ovosodo,IT,1997,Paolo Virzì,1185066
8382,Fools Rush In,US,1997,Andy Tennant,1137498
8383,Wishmaster,US,1997,Robert Kurtzman,1086271
8384,Free Willy 3: The Rescue,US,1997,Sam Pillsbury,1066599
8385,Hamlet,"US, GB",1997,Kenneth Branagh,1053384
8386,Kama Sutra: A Tale of Love,IN,1997,Mira Nair,1052269
8387,Un amour de sorcière,FR,1997,René Manzor,1040488
8388,U Turn,US,1997,Oliver Stone,1027979
8389,Bandits,DE,1997,Katja von Garnier,997764
8390,One Night Stand,US,1997,Mike Figgis,994694
8391,Tout doit disparaître,FR,1997,Philippe Muyl,970786
8392,Beverly Hills Ninja,US,1997,Dennis Dugan,970510
8393,She's So Lovely,"US, FR",1997,Nick Cassavetes,970166
8394,Midnight in the Garden of Good and Evil,US,1997,Clint Eastwood,969371
8395,Hamam,"IT, TR, ES",1997,Ferzan Ozpetek,920596
8396,Yatgo ho yan,HK,1997,Sammo Kam-Bo Hung,912178
8397,Le cousin,FR,1997,Alain Corneau,894055
8398,Mortal Kombat: Annihilation,US,1997,John R. Leonetti,876685
8399,Career Girls,GB,1997,Mike Leigh,870764
8400,Private Parts,US,1997,Betty Thomas,864340
8401,Le gone du Chaâba,FR,1997,Christophe Ruggia,863887
8402,Anna Karenina,US,1997,Bernard Rose,839653
8403,Perdita Durango,"ES, US, MX",1997,Álex de la Iglesia,829864
8404,Mad City,US,1997, Costa-Gavras,818310
8405,Rien ne va plus,FR,1997,Claude Chabrol,814369
8406,Die Furchtlosen Vier,DE,1997,"Michael Coldewey, Eberhard Junkersdorf, Jürgen Richter",805553
8407,Adam & Eva,SE,1997,"Måns Herngren, Hannes Holm",787130
8408,Arlette,FR,1997,Claude Zidi,762495
8409,The Edge,US,1997,Lee Tamahori,741234
8410,The Winter Guest,"GB, US",1997,Alan Rickman,739800
8411,FairyTale: A True Story,GB,1997,Charles Sturridge,735337
8412,Al-massir,"EG, FR",1997,"Youssef Chahine, Khairiya A-Mansour",731432
8413,Romy and Michele's High School Reunion,US,1997,David Mirkin,724849
8414,Face,GB,1997,Antonia Bird,709477
8415,The Spanish Prisoner,US,1997,David Mamet,702497
8416,La buena estrella,"ES, FR, IT",1997,Ricardo Franco,685396
8417,Hana-bi,JP,1997,Takeshi Kitano,682584
8418,Die Story von Monty Spinnerratz,DE,1997,Michael F. Huse,680466
8419,Air Bud,CA,1997,Charles Martin Smith,662436
8420,Father's Day,US,1997,Ivan Reitman,658809
8421,Ma vie en rose,"FR, BE, GB, CH",1997,Alain Berliner,656860
8422,Oesje!,BE,1997,Ludo Cox,635493
8423,Benjamin Blümchen - Seine schönsten Abenteuer,"DE, LU",1997,Gerhard Hahn,634709
8424,Mlode Wilki 1/2,PL,1997,Jaroslaw Zamojda,618235
8425,The Sweet Hereafter,CA,1997,Atom Egoyan,609903
8426,Quatre garçons pleins d'avenir,FR,1997,Jean-Paul Lilienfeld,590029
8427,The Postman,US,1997,Kevin Costner,588296
8428,Martín (Hache),"ES, AR",1997,Adolfo Aristarain,580237
8429,Chasing Amy,US,1997,Kevin Smith,563095
8430,Grosse Pointe Blank,US,1997,George Armitage,558168
8431,Kureyon Shin-chan ankoku tamatama daitsuiseki,JP,1997,Keiichi Hara,553977
8432,Szczesliwego Nowego Jorku,PL,1997,Janusz Zaorski,553153
8433,The Butcher Boy,IE,1997,Neil Jordan,552668
8434,Night Falls on Manhattan,US,1997,Sidney Lumet,541165
8435,Das Leben ist eine Baustelle.,DE,1997,Wolfgang Becker,532382
8436,Le déménagement,FR,1997,Olivier Doran,530670
8437,Chinese Box,"FR, JP, US",1997,Wayne Wang,530227
8438,Svensson Svensson - filmen,SE,1997,Björn Gunnarsson,523471
8439,The Tango Lesson,"GB, DE, FR",1997,Sally Potter,519819
8440,Assassin(s),FR,1997,Mathieu Kassovitz,515121
8441,Paws,"AU, GB",1997,Karl Zwicky,513243
8442,Inventing the Abbotts,US,1997,Pat O'Connor,513242
8443,Karakter,NL,1997,Mike van Diem,506369
8444,Csinibaba,HU,1997,Péter Tímár,506256
8445,Nettoyage à sec,"FR, ES",1997,Anne Fontaine,501466
8446,K,"FR, DE, IT",1997,Alexandre Arcady,485912
8447,Twin Town,GB,1997,Kevin Allen,468889
8448,Firelight,"GB, FR",1997,William Nicholson,462950
8449,Zugvögel - ... einmal nach Inari,"DE, FI",1997,Peter Lichtefeld,450442
8450,Ta'm e guilass,"IR, FR",1997,Abbas Kiarostami,428755
8451,La femme de chambre du Titanic,"FR, IT, ES",1997,Bigas Luna,424247
8452,Mrs. Dalloway,GB,1997,Marleen Gorris,421035
8453,The Climb,FR,1997,Bob Swaim,417252
8454,The Man Who Knew too Little,US,1997,Jon Amiel,405012
8455,Barbara,"DK, SE, NO",1997,Nils Malmros,401127
8456,Money Talks,US,1997,Brett Ratner,393080
8457,The End of Violence,"US, DE, FR",1997,Wim Wenders,392876
8458,Viola bacia tutti,IT,1997,Giovanni Veronesi,389553
8459,14 Tage Lebenslänglich,DE,1997,Roland Suso Richter,389197
8460,Les démons de Jésus,FR,1997,Bernie Bonvoisin,384054
8461,Bouge !,FR,1997,Jérôme Cornuau,375331
8462,Ogifta par - en film som skiljer sig,SE,1997,Peter Dalle,371987
8463,Sunes Familie,DK,1997,Hans Kristensen,369097
8464,The Blackout,US,1997,Abel Ferrara,367233
8465,Facciamo Fiesta,IT,1997,Angelo Longoni,366851
8466,A Miniszter félrelép,HU,1997,"András Kern, Róbert Koltai",365589
8467,Cosas que dejé en La Habana,ES,1997,Manuel Gutiérrez Aragón,360418
8468,Lotrando a Zubejda,"CZ, FR, BG",1997,Karel Smyczek,360347
8469,Armageddon,US,1998,Michael Bay,26158984
8470,Saving Private Ryan,US,1998,Steven Spielberg,23240102
8471,A Bug's Life,US,1998,"John Lasseter, Andrew Stanton",22205879
8472,There's Something about Mary,US,1998,"Bobby Farrelly, Peter Farrelly",20541046
8473,Mulan,US,1998,"Tony Bancroft, Barry Cook",20090025
8474,Shakespeare In Love,US,1998,John Madden,19258276
8475,Godzilla,US,1998,Roland Emmerich,16868227
8476,Doctor Dolittle,US,1998,Betty Thomas,15995349
8477,Enemy of the State,US,1998,Tony Scott,15373392
8478,The Horse Whisperer,US,1998,Robert Redford,13619809
8479,The Mask of Zorro,US,1998,Martin Campbell,13548800
8480,The Truman Show,US,1998,Peter Weir,13312863
8481,Lethal Weapon 4,US,1998,Richard Donner,12929446
8482,Deep Impact,US,1998,Mimi Leder,12915370
8483,Pokémon the First Movie: Mewtwo Strikes Back,"JP, US",1998,"Michael Haigney, Kunihiko Yuyama",12682197
8484,The Prince of Egypt,US,1998,"Brenda Chapman, Simon Wells, Steve Hickner",12518563
8485,You've Got Mail,US,1998,Nora Ephron,12397532
8486,Le dîner de cons,FR,1998,Francis Veber,10916675
8487,The Man in the Iron Mask,US,1998,Randall Wallace,10705234
8488,The X Files,US,1998,Rob Bowman,10121476
8489,Les couloirs du temps: Les visiteurs II,FR,1998,Jean-Marie Poiré,9246758
8490,Six Days Seven Nights,US,1998,Ivan Reitman,8862253
8491,Antz,US,1998,"Eric Darnell, Tim Johnson",8385572
8492,City of Angels,US,1998,Brad Silberling,8318763
8493,Rush Hour,US,1998,Brett Ratner,8120318
8494,Taxi,FR,1998,Gérard Pirès,7776037
8495,Meet Joe Black,US,1998,Martin Brest,7371054
8496,Blade,US,1998,Stephen Norrington,7059246
8497,Lost in Space,"US, GB",1998,Stephen Hopkins,6418550
8498,Sliding Doors,"GBinc, US",1998,Peter Howitt,6403250
8499,The Siege,US,1998,Edward Zwick,6132205
8500,The Faculty,US,1998,Robert Rodriguez,5624164
8501,Stepmom,US,1998,Chris Columbus,5524224
8502,The Rugrats Movie,US,1998,"Igor Kovalyov, Norton Virgien",5498730
