,original title,producing country,production year,directors,visitors
1857,För att inte tala om alla dessa kvinnor,SE,1964,Ingmar Bergman,1589
1858,Kdyby tisíc klarinetů,"CZ, SK",1964,"Ján Rohác, Vladimír Svitácek",1561
1859,The Americanization of Emily,US,1964,Arthur Hiller,1521
1860,Fantômas,"FR, IT",1964,André Hunebelle,1479
1861,Onibaba,JP,1964,Kaneto Shindô,1461
1862,Tintin et les oranges bleues,"FR, ES",1964,Philippe Condroyer,1451
1863,Becket,GB,1964,Peter Glenville,1434
1864,Nikutai no mon,JP,1964,Seijun Suzuki,1413
1865,Älskande par,SE,1964,Mai Zetterling,1138
1866,The Gorgon,GB,1964,Terence Fisher,1001
1867,Dead Ringer,US,1964,Paul Henreid,983
1868,Die Suche nach dem wunderbunten Vögelchen,DD,1964,Rolf Losansky,951
1869,La grande frousse,FR,1964,Jean-Pierre Mocky,918
1870,Winnetou - 2. Teil,"DE, FR, IT, YU",1964,Harald Reinl,885
1871,Hvězda zvaná Pelyněk,"CZ, SK",1964,Martin Fric,835
1872,Cent mille dollars au soleil,"FR, IT",1964,Henri Verneuil,796
1873,La donna scimmia,"IT, FR",1964,Marco Ferreri,746
1874,Belarmino,PT,1964,Fernando Lopes,682
1875,Les Barbouzes,"FR, IT",1964,Georges Lautner,655
1876,Bláznova kronika,"CZ, SK",1964,Karel Zeman,602
1877,Obžalovaný,"CZ, SK",1964,"Ján Kadár, Elmar Klos",596
1878,Každý den odvahu,"CZ, SK",1964,Evald Schorm,545
1879,Week-end à Zuydcoote,"FR, IT",1964,Henri Verneuil,538
1880,"Hush...Hush, Sweet Charlotte",US,1964,Robert Aldrich,528
1881,Die Abenteuer des Werner Holt,DD,1964,Joachim Kunert,526
1882,Honeymoon of Horror,US,1964,Irwin Meyer,495
1883,Lope de Vega,ES,1964,Jesús Fernández Santos,493
1884,La chasse à l'homme,"FR, IT",1964,Édouard Molinaro,406
1885,The Naked Kiss,US,1964,Samuel Fuller,358
1886,Fail Safe,US,1964,Sidney Lumet,335
1887,Hattyúdal,HU,1964,Márton Keleti,335
1888,Les félins,FR,1964,René Clément,280
1889,La vie à l'envers,FR,1964,Alain Jessua,258
1890,Máte doma lva?,"CZ, SK",1964,Pavel Hobl,257
1891,Seven Days in May,US,1964,John Frankenheimer,222
1892,"Sonría, por favor",ES,1964,"Silvio Fernández Balbuena, Silvio F. Balbuena, Manuel Caño, Silvio Fernández",220
1893,The Masque of the Red Death,GB,1964,Roger Corman,219
1894,Lilith,US,1964,Robert Rossen,211
1895,"Do svidaniya, malchiki!",SU,1964,Mikhail Kalik,191
1896,Zulu,GB,1964,Cy Endfield,176
1897,The Monster of Camp Sunshine or How I Learned to Stop Worrying and Love Nature,US,1964,Ferenc Leroget,156
1898,Chair de poule,"FR, IT",1964,Julien Duvivier,148
1899,Los Palomos,ES,1964,Fernando Fernán Gómez,136
1900,The Visit,"IT, FR, DE, US",1964,Bernhard Wicki,131
1901,Sommer i Tyrol,DK,1964,Erik Balling,123
1902,Akai satsui,JP,1964,Shôhei Imamura,120
1903,Zacít znova,CZ,1964,"Miroslav Hubácek, Vladislav Delong",120
1904,El escándalo,ES,1964,Javier Setó,117
1905,Die Physiker,DE,1964,Fritz Umgelter,115
1906,Gamlet,SU,1964,Grigori Kozintsev,112
1907,Cintamani a podvodnik,"CZ, SK",1964,Jirí Krejcík,109
1908,Monsieur,FR,1964,Jean-Paul Le Chanois,108
1909,The High Bright Sun,GB,1964,Ralph Thomas,107
1910,The Fall of the Roman Empire,US,1964,Anthony Mann,96
1911,What a Way to Go!,US,1964,J. Lee Thompson,94
1912,La Niña de luto,ES,1964,Manuel Summers,88
1913,La ragazza di Bube,"IT, FR",1964,Luigi Comencini,83
1914,Circus World,"US, ES",1964,Henry Hathaway,80
1915,Woman of Straw,GB,1964,Basil Dearden,79
1916,Rio Conchos,US,1964,Gordon Douglas,76
1917,Les apprentis,CH,1964,Alain Tanner,72
1918,To Homa vaftike kokkino,GR,1964,Vassilis Georgiadis,71
1919,Przygody Gapiszona,PL,1964,Jerzy Kotowski,67
1920,Fádní odpoledne + Sběrné surovosti (compilation),"CZ, SK",1964,"Juraj Herz, Ivan Passer",66
1921,"Táto, sezen stene","CZ, SK",1964,Milan Vosmik,64
1922,Maria Callas at Covent Garden,GB,1964,Franco Zeffirelli,61
1923,A holdhorgász,HU,1964,Tibor Csermák,60
1924,The Pumpkin Eater,GB,1964,Jack Clayton,56
1925,Sodrásban,HU,1964,István Gaál,53
1926,Cumbite,CU,1964,Tomás Gutiérrez Alea,52
1927,Behold a Pale Horse,US,1964,Fred Zinnemann,47
1928,"Mata Hari, agent H21","FR, IT",1964,Jean-Louis Richard,47
1929,Vysoká zed,"CZ, SK",1964,Karel Kachyňa,45
1930,Der Nussknacker,"DE, US",1964,Heinz Liesendahl,38
1931,Kampen om Næsbygård,DK,1964,"Ib Mossin, Alice O'Fredericks",37
1932,The Disorderly Orderly,US,1964,Frank Tashlin,37
1933,"Angélique, marquise des anges","FR, DE, IT",1964,Bernard Borderie,35
1934,Bez svatozáre,CZ,1964,Ladislav Helge,35
1935,Young Sánchez,ES,1964,Mario Camus,34
1936,Murder Ahoy,GB,1964,George Pollock,33
1937,Send Me No Flowers,US,1964,Norman Jewison,31
1938,Kaidan,JP,1964,Masaki Kobayashi,30
1939,"Dobro pozhalovat, ili Postoronnim vkhod vospreshchen",SU,1964,Elem Klimov,30
1940,491,SE,1964,Vilgot Sjöman,29
1941,Käre John,SE,1964,Lars-Magnus Lindgren,29
1942,Good Neighbor Sam,US,1964,David Swift,28
1943,Anotimpuri,RO,1964,Savel Stiopul,28
1944,Gusztáv az állatbarát,HU,1964,József Nepp,25
1945,Mese a bogárról,HU,1964,József Nepp,25
1946,Viva Las Vegas,US,1964,George Sidney,25
1947,Two Thousand Maniacs!,US,1964,Herschell Gordon Lewis,24
1948,La mia signora,IT,1964,"Tinto Brass, Mauro Bolognini, Luigi Comencini",24
1949,Murder Most Foul,GB,1964,George Pollock,18
1950,Dvanáct,"CZ, SK",1964,Eva Sadková,17
1951,Színe és Fonákja,HU,1964,Sándor Simó,16
1952,Romantikus Történet,HU,1964,Gyula Macskássy,16
1953,Twice a Man,US,1964,Gregory J. Markopoulos,15
1954,Cesta hlubokým lesem,"CZ, SK",1964,Stepán Skalský,15
1955,Einstein kontra Babinský,"CZ, SK",1964,Zdenek Podskalský,15
1956,La mente y el crimen,MX,1964,Alejandro Galindo,13
1957,Lito vilovito,YU,1964,Obrad Gluscevic,12
1958,Faites sauter la banque!,FR,1964,Jean Girault,12
1959,Komedie s Klikou,"CZ, SK",1964,Václav Krska,12
1960,Raportti eli balladi laivatytöistä,FI,1964,Maunu Kurkvaara,11
1961,Blind kind,NL,1964,Johan van der Keuken,10
1962,Isidro el labrador,ES,1964,Rafael J. Salvia,10
1963,A tiro limpio,ES,1964,Francisco Pérez-Dolz,9
1964,Italiani brava gente,"IT, SU",1964,Giuseppe De Santis,9
1965,King & Country,GB,1964,Joseph Losey,8
1966,The Brig,US,1964,"Judith Malina, Jonas Mekas",6
1967,Prawo i piesc,PL,1964,"Jerzy Hoffman, Edward Skórzewski",4
1968,Pacsirta,HU,1964,László Ranódy,4
1969,Giuseppe w Warszawie,PL,1964,Stanislaw Lenartowicz,2
1970,The Last Man on Earth,"IT, US",1964,"Ubaldo Ragona, Sidney Salkow",1
1971,A High Wind in Jamaica,GB,1965,Alexander Mackendrick,98299
1972,The Sound of Music,US,1965,Robert Wise,44197
1973,Pierrot le fou,FR,1965,Jean-Luc Godard,41821
1974,La battaglia di Algeri,"DZ, IT",1965,Gillo Pontecorvo,32881
1975,Doctor Zhivago,US,1965,David Lean,31000
1976,Signore & Signori,IT,1965,Pietro Germi,27908
1977,Per qualche dollaro in più,"IT, ES, DE, MO",1965,Sergio Leone,20240
1978,Vaghe stelle dell'Orsa...,IT,1965,Luchino Visconti,19024
1979,Seisaku no tsuma,JP,1965,Yasuzo Masumura,16200
1980,De-as fi Harap Alb,RO,1965,Ion Popescu-Gopo,14375
1981,Uccellacci e uccellini,IT,1965,Pier Paolo Pasolini,13437
1982,Akahige,JP,1965,Akira Kurosawa,13356
1983,El mundo sigue,ES,1965,Fernando Fernán Gómez,12573
1984,Lásky jedné plavovlásky,"CZ, SK",1965,Milos Forman,12208
1985,Chimes at Midnight,"FR, ES, CH",1965,Orson Welles,12055
1986,I pugni in tasca,IT,1965,Marco Bellocchio,11727
1987,"Alphaville, une étrange aventure de Lemmy Caution","FR, IT",1965,Jean-Luc Godard,11585
1988,Repulsion,US,1965,Roman Polanski,11366
1989,Obchod na korze,"CZ, SK",1965,"Ján Kadár, Elmar Klos",11215
1990,Io la conoscevo bene,"IT, DE, FR",1965,Antonio Pietrangeli,9179
1991,La vie de château,FR,1965,Jean-Paul Rappeneau,9080
1992,La vieille dame indigne,FR,1965,René Allio,8854
1993,Yoyo,FR,1965,Pierre Étaix,6698
1994,Giulietta degli spiriti,"IT, FR, DE",1965,Federico Fellini,6205
1995,"What's New, Pussycat",US,1965,Clive Donner,5302
1996,Tjorven och Skrållan,SE,1965,Olle Hellbom,5099
